verse,ar,en,timestamps
,إِذَا رَأَيْتَ,"when you look there [in Paradise],",0:00.000
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,0:01.720
,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],",0:06.600
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,0:07.933
,عَلِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ,"Upon them [i.e., the inhabitants] will be green garments of fine silk and brocade.",0:13.066
,وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ,"And they will be adorned with bracelets of silver,",0:18.306
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,0:21.466
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,0:26.813
,إِنَّ هَذَا كَانَ لَكُمْ جَزَاءً,"[And it will be said], ""Indeed, this is for you a reward,",0:31.480
,وَكَانَ سَعْيُكُم,and your effort has been,0:36.573
,وَكَانَ سَعْيُكُم مَّشْكُورًا,"and your effort has been appreciated.""",0:39.146
,,,0:44.068
