Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 02	0:06.146	0:00.000	decimal	Track	
Marker 03	0:11.826	0:00.000	decimal	Track	
Marker 04	0:15.320	0:00.000	decimal	Track	
Marker 05	0:18.306	0:00.000	decimal	Track	
Marker 21	0:21.720	0:00.000	decimal	Track	
Marker 06	0:26.373	0:00.000	decimal	Cue	
Marker 07	0:31.960	0:00.000	decimal	Track	
Marker 09	0:36.933	0:00.000	decimal	Track	
Marker 10	0:40.906	0:00.000	decimal	Track	
Marker 11	0:44.600	0:00.000	decimal	Track	
Marker 12	0:48.353	0:00.000	decimal	Cue	
Marker 13	0:52.773	0:00.000	decimal	Track	
Marker 14	0:56.693	0:00.000	decimal	Track	
Marker 15	0:59.860	0:00.000	decimal	Cue	
Marker 16	1:03.866	0:00.000	decimal	Track	
Marker 17	1:07.240	0:00.000	decimal	Track	
Marker 18	1:10.093	0:00.000	decimal	Track	
Marker 19	1:15.093	0:00.000	decimal	Track	
Marker 22	1:17.653	0:00.000	decimal	Track	
Marker 20	1:21.609	0:00.000	decimal	Cue	
