verse,ar,en,timestamps
6:27,وَلَوْ تَرَى إِذْ وُقِفُوا عَلَى النَّارِ,If you could but see when they are made to stand before the Fire,0:00.370
,وَلَوْ تَرَى إِذْ وُقِفُوا عَلَى النَّارِ,If you could but see when they are made to stand before the Fire,0:06.120
,فَقَالُوا يَلَيْتَنَا نُرَدُّ,"and will say, ""Oh, would that we could be returned [to life on earth]",0:11.826
,فَقَالُوا يَلَيْتَنَا نُرَدُّ,"and will say, ""Oh, would that we could be returned [to life on earth]",0:15.320
,وَلَا نُكَذِّبَ بَِٔايَتِ رَبِّنَا,and not deny the signs of our Lord,0:18.306
,وَنَكُونَ مِنَ الْمُؤْمِنِينَ,"and be among the believers.""",0:21.773
6:28,بَلْ بَدَا لَهُم مَّا كَانُوا يُخْفُونَ مِن قَبْلُ,But what they concealed before has [now] appeared to them.,0:26.373
,بَلْ بَدَا لَهُم مَّا كَانُوا يُخْفُونَ مِن قَبْلُ,But what they concealed before has [now] appeared to them.,0:31.946
,وَلَوْ رُدُّوا لَعَادُوا لِمَا نُهُوا عَنْهُ,"And even if they were returned, they would return to that which they were forbidden;",0:36.933
,وَلَوْ رُدُّوا لَعَادُوا لِمَا نُهُوا عَنْهُ,"And even if they were returned, they would return to that which they were forbidden;",0:40.893
,وَإِنَّهُمْ لَكَذِبُونَ,"and indeed, they are liars.",0:44.600
6:29,وَقَالُوا إِنْ هِىَ إِلَّا حَيَاتُنَا الدُّنْيَا,"And they say, ""There is none but our worldly life,",0:48.353
,وَقَالُوا إِنْ هِىَ إِلَّا حَيَاتُنَا الدُّنْيَا,"And they say, ""There is none but our worldly life,",0:52.773
,وَمَا نَحْنُ بِمَبْعُوثِينَ,"and we will not be resurrected.""",0:56.746
6:30,وَلَوْ تَرَى إِذْ وُقِفُوا عَلَى رَبِّهِمْ,If you could but see when they will be made to stand before their Lord.,0:59.860
,قَالَ أَلَيْسَ هَذَا بِالْحَقِّ,"He will say, ""Is this not the truth?""",1:03.866
,قَالُوا بَلَى وَرَبِّنَا,"They will say, ""Yes, by our Lord.""",1:07.213
,قَالَ فَذُوقُوا الْعَذَابَ,"He will [then] say, ""So taste the punishment",1:10.080
,قَالَ فَذُوقُوا الْعَذَابَ,"He will [then] say, ""So taste the punishment",1:15.080
,بِمَا كُنتُمْ تَكْفُرُونَ,"for what you used to deny.""",1:17.586
,,,1:21.536
