Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:08.586	0:00.000	decimal	Track	
CD Track 03	0:15.400	0:00.000	decimal	Track	
CD Track 02	0:17.480	0:00.000	decimal	Track	
CD Track 08	0:21.266	0:00.000	decimal	Track	
CD Track 05	0:23.960	0:00.000	decimal	Track	
CD Track 04	0:27.560	0:00.000	decimal	Track	
CD Track 09	0:29.733	0:00.000	decimal	Track	
CD Track 06	0:32.626	0:00.000	decimal	Track	
CD Track 07	0:36.733	0:00.000	decimal	Track	
Marker 02	0:43.169	0:00.000	decimal	Cue	
