verse,ar,en
2:214,مَّسَّتْهُمُ الْبَأْسَاءُ وَالضَّرَّا,They were touched by poverty and hardship
,مَّسَّتْهُمُ الْبَأْسَاءُ وَالضَّرَّا,They were touched by poverty and hardship
,ءُ وَزُلْزِلُوا,and were shaken
,وَزُلْزِلُوا حَتَّى يَقُولَ الرَّسُولُ,and were shaken until [even their] messenger
,وَالَّذِينَ ءَامَنُوا مَعَهُ,"and those who believed with him said,"
,مَتَى نَصْرُ اللَّهِ,"""When is the help of Allah?"""
,حَتَّى يَقُولَ الرَّسُولُ,until [even their] messenger
,وَالَّذِينَ ءَامَنُوا مَعَهُ,"and those who believed with him said,"
,مَتَى نَصْرُ اللَّهِ,"""When is the help of Allah?"""
,أَلَا إِنَّ نَصْرَ اللَّهِ قَرِيبٌ,"Unquestionably, the help of Allah is near."
