Name	Start	Duration	Time Format	Type	Description
Marker 07	0:00.070	0:00.000	decimal	Cue	
CD Track 14	0:07.346	0:00.000	decimal	Track	
Marker 02	0:12.988	0:00.000	decimal	Cue	
CD Track 01	0:18.840	0:00.000	decimal	Track	
CD Track 02	0:24.546	0:00.000	decimal	Track	
CD Track 03	0:29.280	0:00.000	decimal	Cue	
CD Track 04	0:35.240	0:00.000	decimal	Track	
CD Track 05	0:41.000	0:00.000	decimal	Track	
Marker 03	0:46.446	0:00.000	decimal	Cue	
CD Track 07	0:53.240	0:00.000	decimal	Track	
CD Track 09	0:55.440	0:00.000	decimal	Track	
CD Track 10	1:01.716	0:00.000	decimal	Cue	
CD Track 12	1:09.400	0:00.000	decimal	Track	
Marker 04	1:15.161	0:00.000	decimal	Cue	
CD Track 13	1:18.106	0:00.000	decimal	Track	
Marker 06	1:24.738	0:00.000	decimal	Cue	
