verse,ar,en
3:104,وَلْتَكُن مِّنكُمْ أُمَّةٌ,And let there be [arising] from you a nation
,يَدْعُونَ إِلَى الْخَيْرِ,"inviting to [all that is] good,"
,يَدْعُونَ إِلَى الْخَيْرِ,"inviting to [all that is] good,"
,وَيَأْمُرُونَ بِالْمَعْرُوفِ,enjoining what is right
,وَيَنْهَوْنَ عَنِ الْمُنكَرِ,"and forbidding what is wrong,"
,وَيَأْمُرُونَ بِالْمَعْرُوفِ,enjoining what is right
,وَيَنْهَوْنَ عَنِ الْمُنكَرِ,"and forbidding what is wrong,"
,وَأُولَئِكَ هُمُ الْمُفْلِحُونَ,and those will be the successful.
3:105,وَلَا تَكُونُوا كَالَّذِينَ تَفَرَّقُوا,And do not be like the ones who became divided
,وَاخْتَلَفُوا مِن بَعْدِ,and differed after
,مِن بَعْدِ مَا جَاءَهُمُ الْبَيِّنَتُ,after the clear proofs had come to them.
,وَأُولَئِكَ لَهُمْ عَذَابٌ عَظِيمٌ,And those will have a great punishment
3:106,يَوْمَ تَبْيَضُّ وُجُوهٌ,On the Day [some] faces will turn white
,وَتَسْوَدُّ وُجُوهٌ,and [some] faces will turn black.
,يَوْمَ تَبْيَضُّ وُجُوهٌ,On the Day [some] faces will turn white
,وَتَسْوَدُّ وُجُوهٌ,and [some] faces will turn black.
,فَأَمَّا الَّذِينَ اسْوَدَّتْ وُجُوهُهُمْ,"As for those whose faces turn black,"
,أَكَفَرْتُم بَعْدَ إِيمَنِكُمْ,"[to them it will be said], ""Did you disbelieve [i.e., reject faith] after your belief?"
,أَكَفَرْتُم بَعْدَ إِيمَنِكُمْ,"[to them it will be said], ""Did you disbelieve [i.e., reject faith] after your belief?"
,فَذُوقُوا الْعَذَابَ,Then taste the punishment
,فَأَمَّا الَّذِينَ اسْوَدَّتْ وُجُوهُهُمْ,"As for those whose faces turn black,"
,أَكَفَرْتُم بَعْدَ إِيمَنِكُمْ,"[to them it will be said], ""Did you disbelieve [i.e., reject faith] after your belief?"
,فَذُوقُوا الْعَذَابَ,Then taste the punishment
,فَذُوقُوا الْعَذَابَ بِمَا كُنتُمْ تَكْفُرُونَ,"Then taste the punishment for what you used to reject."""
