verse,ar,en,timestamps
79:34,فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَى,But when there comes the greatest Overwhelming Calamity -,2:28.456
,فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَى,But when there comes the greatest Overwhelming Calamity -,2:37.666
79:35,يَوْمَ يَتَذَكَّرُ الْإِنسَنُ مَا سَعَى,"The Day when man will remember that for which he strove,",2:45.593
,يَوْمَ يَتَذَكَّرُ الْإِنسَنُ مَا سَعَى,"The Day when man will remember that for which he strove,",2:49.720
79:36,وَبُرِّزَتِ الْجَحِيمُ,And Hellfire will be exposed,2:54.293
,وَبُرِّزَتِ الْجَحِيمُ لِمَن يَرَى,And Hellfire will be exposed for [all] those who see -,2:58.533
,وَبُرِّزَتِ الْجَحِيمُ لِمَن يَرَى,And Hellfire will be exposed for [all] those who see -,3:02.826
79:37,فَأَمَّا مَن طَغَى,So as for he who transgressed,3:06.360
79:38,وَءَاثَرَ الْحَيَوةَ الدُّنْيَا,"And preferred the life of the world,",3:09.040
79:39,فَإِنَّ الْجَحِيمَ هِىَ الْمَأْوَى,"Then indeed, Hellfire will be [his] refuge.",3:11.697
,فَإِنَّ الْجَحِيمَ هِىَ الْمَأْوَى,"Then indeed, Hellfire will be [his] refuge.",3:15.360
79:40,وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ,But as for he who feared the position of his Lord,3:18.838
,وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ,But as for he who feared the position of his Lord,3:22.973
,وَنَهَى النَّفْسَ,and prevented the soul,3:26.600
,وَنَهَى النَّفْسَ عَنِ الْهَوَى,"and prevented the soul from [unlawful] inclination,",3:28.146
79:41,فَإِنَّ الْجَنَّةَ,"Then indeed, Paradise",3:31.440
,فَإِنَّ الْجَنَّةَ,"Then indeed, Paradise",3:34.493
,فَإِنَّ الْجَنَّةَ هِىَ الْمَأْوَى,"Then indeed, Paradise will be [his] refuge.",3:37.920
,,,3:42.495
