verse,ar,en,timestamps
80:33,فَإِذَا جَاءَتِ الصَّاخَّةُ,But when there comes the Deafening Blast,2:14.000
,فَإِذَا جَاءَتِ الصَّاخَّةُ,But when there comes the Deafening Blast,2:22.933
80:34,يَوْمَ يَفِرُّ الْمَرْءُ مِنْ أَخِيهِ,On the Day a man will flee from his brother,2:31.239
80:35,وَأُمِّهِ وَأَبِيهِ,And his mother and his father,2:36.800
80:36,وَصَحِبَتِهِ وَبَنِيهِ,"And his wife and his children,",2:41.258
80:37,لِكُلِّ امْرِئٍ مِّنْهُمْ يَوْمَئِذٍ شَأْنٌ يُغْنِيهِ,"For every man, that Day, will be a matter adequate for him.",2:45.639
80:38,وُجُوهٌ يَوْمَئِذٍ مُّسْفِرَةٌ,"[Some] faces, that Day, will be bright -",2:55.462
,وُجُوهٌ يَوْمَئِذٍ مُّسْفِرَةٌ,"[Some] faces, that Day, will be bright -",3:00.133
80:39,ضَاحِكَةٌ مُّسْتَبْشِرَةٌ,"Laughing, rejoicing at good news.",3:04.834
80:40,وَوُجُوهٌ يَوْمَئِذٍ عَلَيْهَا غَبَرَةٌ,"And [other] faces, that Day, will have upon them dust.",3:08.440
80:41,تَرْهَقُهَا قَتَرَةٌ,Blackness will cover them.,3:14.309
80:42,أُولَئِكَ هُمُ الْكَفَرَةُ الْفَجَرَةُ,"Those are the disbelievers, the wicked ones.",3:17.132
,,,3:24.356
