Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.033	0:00.000	decimal	Cue	
CD Track 01	0:05.160	0:00.000	decimal	Track	
Marker 02	0:09.457	0:00.000	decimal	Cue	
Marker 03	0:13.672	0:00.000	decimal	Cue	
Marker 04	0:18.274	0:00.000	decimal	Cue	
Marker 05	0:20.733	0:00.000	decimal	Cue	
Marker 06	0:23.676	0:00.000	decimal	Cue	
Marker 07	0:28.027	0:00.000	decimal	Cue	
Marker 08	0:32.099	0:00.000	decimal	Cart	
Marker 09	0:36.835	0:00.000	decimal	Cue	
CD Track 04	0:40.133	0:00.000	decimal	Track	
CD Track 05	0:44.093	0:00.000	decimal	Track	
CD Track 07	0:50.626	0:00.000	decimal	Subclip	
CD Track 06	0:52.080	0:00.000	decimal	Track	
Marker 11	0:57.248	0:00.000	decimal	Cue	
CD Track 08	1:00.386	0:00.000	decimal	Track	
CD Track 09	1:04.973	0:00.000	decimal	Track	
CD Track 10	1:10.413	0:00.000	decimal	Track	
Marker 12	1:16.503	0:00.000	decimal	Cue	
Marker 13	1:21.905	0:00.000	decimal	Cue	
