verse,ar,en,timestamps
44:43,إِنَّ شَجَرَتَ الزَّقُّومِ,"Indeed, the tree of zaqqum",0:00.033
,إِنَّ شَجَرَتَ الزَّقُّومِ,"Indeed, the tree of zaqqum",0:05.160
44:44,طَعَامُ الْأَثِيمِ,Is food for the sinful.,0:09.457
44:45,كَالْمُهْلِ يَغْلِى فِى الْبُطُونِ,"Like murky oil, it boils within bellies",0:13.672
,إِنَّ شَجَرَتَ الزَّقُّومِ,"Indeed, the tree of zaqqum",0:18.274
,طَعَامُ الْأَثِيمِ,Is food for the sinful.,0:20.733
,كَالْمُهْلِ يَغْلِى فِى الْبُطُونِ,"Like murky oil, it boils within bellies",0:23.676
44:46,كَغَلْىِ الْحَمِيمِ,Like the boiling of scalding water.,0:28.027
,كَغَلْىِ الْحَمِيمِ,Like the boiling of scalding water.,0:32.099
44:47,خُذُوهُ,"[It will be commanded], ""Seize him",0:36.835
,خُذُوهُ,"[It will be commanded], ""Seize him",0:40.133
,فَاعْتِلُوهُ إِلَى سَوَاءِ الْجَحِيمِ,"and drag him into the midst of the Hellfire,",0:44.093
,خُذُوهُ فَاعْتِلُوهُ إِلَى سَوَاءِ الْجَحِيمِ,"[It will be commanded], ""Seize him and drag him into the midst of the Hellfire,","0:52.080,0:50.626"
44:48,ثُمَّ صُبُّوا فَوْقَ رَأْسِهِ,Then pour over his head,0:57.248
,ثُمَّ صُبُّوا فَوْقَ رَأْسِهِ مِنْ عَذَابِ,Then pour over his head from the torment,1:00.386
,مِنْ عَذَابِ الْحَمِيمِ,"from the torment of scalding water.""",1:04.973
,ثُمَّ صُبُّوا فَوْقَ رَأْسِهِ مِنْ عَذَابِ الْحَمِيمِ,"Then pour over his head from the torment of scalding water.""",1:10.413
44:49,ذُقْ إِنَّكَ أَنتَ الْعَزِيزُ الْكَرِيمُ,"[It will be said], ""Taste! Indeed, you are the honored, the noble!",1:16.503
,,,1:21.905
