Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
Marker 02	0:02.428	0:00.000	decimal	Cue	
Marker 03	0:11.064	0:00.000	decimal	Cue	
Marker 04	0:20.000	0:00.000	decimal	Cue	
Marker 05	0:30.000	0:00.000	decimal	Cue	
Marker 06	0:40.000	0:00.000	decimal	Cue	
Marker 07	0:48.574	0:00.000	decimal	Cue	
Marker 08	1:00.000	0:00.000	decimal	Cue	
Marker 09	1:08.138	0:00.000	decimal	Cue	
Marker 10	1:20.957	0:00.000	decimal	Cue	
Marker 11	1:30.000	0:00.000	decimal	Cue	
Marker 12	1:41.196	0:00.000	decimal	Cue	
Marker 13	1:46.053	0:00.000	decimal	Cue	
Marker 14	1:57.792	0:00.000	decimal	Cue	
Marker 15	2:03.729	0:00.000	decimal	Cue	
Marker 16	2:11.690	0:00.000	decimal	Cue	
Marker 17	2:20.000	0:00.000	decimal	Cue	
Marker 18	2:28.286	0:00.000	decimal	Cue	
Marker 19	2:38.675	0:00.000	decimal	Cue	
Marker 20	2:43.938	0:00.000	decimal	Cue	
Marker 21	2:51.416	0:00.000	decimal	Cue	
Marker 22	3:00.000	0:00.000	decimal	Cue	
Marker 23	3:13.319	0:00.000	decimal	Cue	
Marker 24	3:25.699	0:00.000	decimal	Cue	
Marker 25	3:36.175	0:00.000	decimal	Cue	
Marker 30	3:56.104	0:00.000	decimal	Cue	
Marker 31	4:19.472	0:00.000	decimal	Cue	
Marker 32	5:00.000	0:00.000	decimal	Cue	
Marker 33	5:27.239	0:00.000	decimal	Cue	
Marker 34	5:59.954	0:00.000	decimal	Cue	
Marker 36	6:23.322	0:00.000	decimal	Cue	
Marker 37	6:46.690	0:00.000	decimal	Cue	
Marker 38	7:19.405	0:00.000	decimal	Cue	
Marker 39	7:56.794	0:00.000	decimal	Cue	
Marker 40	8:41.193	0:00.000	decimal	Cue	
Marker 41	9:16.245	0:00.000	decimal	Cue	
Marker 42	9:37.276	0:00.000	decimal	Cue	
Marker 43	10:00.000	0:00.000	decimal	Cue	
Marker 44	10:28.685	0:00.000	decimal	Cue	
Marker 46	11:20.903	0:00.000	decimal	Cue	
CD Track 01	11:26.693	0:00.000	decimal	Track	
CD Track 02	11:33.466	0:00.000	decimal	Track	
CD Track 03	11:39.933	0:00.000	decimal	Track	
CD Track 07	11:44.800	0:00.000	decimal	Track	
CD Track 08	11:50.600	0:00.000	decimal	Track	
CD Track 09	11:54.360	0:00.000	decimal	Track	
CD Track 10	12:00.160	0:00.000	decimal	Track	
Marker 47	12:04.194	0:00.000	decimal	Cue	
