Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.511	0:00.000	decimal	Cue	
CD Track 01	0:04.186	0:00.000	decimal	Track	
CD Track 03	0:11.640	0:00.000	decimal	Track	
CD Track 12	0:13.786	0:00.000	decimal	Track	
Marker 03	0:17.379	0:00.000	decimal	Cue	
CD Track 04	0:22.426	0:00.000	decimal	Track	
CD Track 05	0:25.706	0:00.000	decimal	Track	
Marker 04	0:28.756	0:00.000	decimal	Cue	
CD Track 06	0:31.986	0:00.000	decimal	Track	
Marker 05	0:36.470	0:00.000	decimal	Cue	
CD Track 07	0:42.893	0:00.000	decimal	Track	
CD Track 08	0:49.613	0:00.000	decimal	Track	
CD Track 09	0:56.653	0:00.000	decimal	Track	
CD Track 10	1:03.106	0:00.000	decimal	Track	
CD Track 11	1:07.026	0:00.000	decimal	Track	
Marker 06	1:09.539	0:00.000	decimal	Cue	
