Name	Start	Duration	Time Format	Type	Description
Marker 02	0:10.249	0:00.000	decimal	Cue	
CD Track 01	0:15.306	0:00.000	decimal	Track	
CD Track 11	0:17.386	0:00.000	decimal	Track	
CD Track 02	0:21.026	0:00.000	decimal	Track	
CD Track 12	0:23.760	0:00.000	decimal	Track	
CD Track 03	0:25.906	0:00.000	decimal	Track	
CD Track 13	0:29.400	0:00.000	decimal	Track	
CD Track 04	0:32.093	0:00.000	decimal	Track	
CD Track 14	0:35.506	0:00.000	decimal	Track	
CD Track 05	0:38.026	0:00.000	decimal	Track	
CD Track 06	0:42.186	0:00.000	decimal	Cue	
CD Track 07	0:45.973	0:00.000	decimal	Track	
CD Track 08	0:50.106	0:00.000	decimal	Cue	
CD Track 09	0:55.320	0:00.000	decimal	Track	
CD Track 10	1:00.306	0:00.000	decimal	Track	
CD Track 15	1:03.066	0:00.000	decimal	Track	
Marker 03	1:07.169	0:00.000	decimal	Cue	
