verse,ar,en,timestamps
2:214,مَّسَّتْهُمُ الْبَأْسَاءُ وَالضَّرَّا,They were touched by poverty and hardship,0:00.000
,مَّسَّتْهُمُ الْبَأْسَاءُ وَالضَّرَّا,They were touched by poverty and hardship,0:08.586
,ءُ وَزُلْزِلُوا,and were shaken,0:15.400
,وَزُلْزِلُوا حَتَّى يَقُولَ الرَّسُولُ,and were shaken until [even their] messenger,0:17.480
,وَالَّذِينَ ءَامَنُوا مَعَهُ,"and those who believed with him said,",0:21.266
,مَتَى نَصْرُ اللَّهِ,"""When is the help of Allah?""",0:23.960
,حَتَّى يَقُولَ الرَّسُولُ,until [even their] messenger,0:27.560
,وَالَّذِينَ ءَامَنُوا مَعَهُ,"and those who believed with him said,",0:29.733
,مَتَى نَصْرُ اللَّهِ,"""When is the help of Allah?""",0:32.626
,أَلَا إِنَّ نَصْرَ اللَّهِ قَرِيبٌ,"Unquestionably, the help of Allah is near.",0:36.733
,,,0:43.169
