Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.331	0:00.000	decimal	Cue	
CD Track 01	0:03.000	0:00.000	decimal	Track	
Marker 02	0:08.514	0:00.000	decimal	Cue	
CD Track 02	0:11.493	0:00.000	decimal	Track	
Marker 03	0:15.468	0:00.000	decimal	Cue	
CD Track 03	0:18.426	0:00.000	decimal	Track	
CD Track 04	0:22.680	0:00.000	decimal	Track	
CD Track 09	0:25.186	0:00.000	decimal	Track	
CD Track 05	0:30.106	0:00.000	decimal	Track	
Marker 04	0:33.393	0:00.000	decimal	Cue	
CD Track 06	0:38.386	0:00.000	decimal	Track	
CD Track 10	0:40.840	0:00.000	decimal	Track	
Marker 01	0:43.860	0:00.000	decimal	Cue	
CD Track 07	0:49.533	0:00.000	decimal	Track	
CD Track 08	0:51.880	0:00.000	decimal	Track	
Marker 05	0:56.367	0:00.000	decimal	Cue	
