Name	Start	Duration	Time Format	Type	Description
Marker 01	1:22.738	0:00.000	decimal	Cue	
Marker 02	1:27.129	0:00.000	decimal	Cue	
Marker 03	1:31.406	0:00.000	decimal	Cue	
Marker 04	1:34.834	0:00.000	decimal	Cue	
Marker 05	1:37.745	0:00.000	decimal	Cue	
Marker 06	1:41.214	0:00.000	decimal	Cue	
Marker 07	1:44.943	0:00.000	decimal	Cue	
Marker 08	1:47.885	0:00.000	decimal	Cue	
Marker 09	1:52.042	0:00.000	decimal	Cue	
Marker 10	1:58.547	0:00.000	decimal	Cue	
Marker 11	2:03.234	0:00.000	decimal	Cue	
Marker 12	2:09.657	0:00.000	decimal	Cue	
