verse,ar,en,timestamps
85:12,إِنَّ بَطْشَ رَبِّكَ لَشَدِيدٌ,"Indeed, the assault [i.e., vengeance] of your Lord is severe.",1:22.738
85:13,إِنَّهُ هُوَ يُبْدِئُ وَيُعِيدُ,"Indeed, it is He who originates [creation] and repeats.",1:27.129
85:14,وَهُوَ الْغَفُورُ الْوَدُودُ,"And He is the Forgiving, the Affectionate,",1:31.406
85:15,ذُو الْعَرْشِ الْمَجِيدُ,"Honorable Owner of the Throne,",1:34.834
85:16,فَعَّالٌ لِّمَا يُرِيدُ,Effecter of what He intends.,1:37.745
85:17,هَلْ أَتَىكَ حَدِيثُ الْجُنُودِ,Has there reached you the story of the soldiers -,1:41.214
85:18,فِرْعَوْنَ وَثَمُودَ,[Those of] Pharaoh and Thamud?,1:44.943
85:19,بَلِ الَّذِينَ كَفَرُوا فِى تَكْذِيبٍ,"But they who disbelieve are in [persistent] denial,",1:47.885
85:20,وَاللَّهُ مِن وَرَائِهِم مُّحِيطٌ,While Allah encompasses them from behind.,1:52.042
85:21,بَلْ هُوَ قُرْءَانٌ مَّجِيدٌ,But this is an honored Qur’an,1:58.547
85:22,فِى لَوْحٍ مَّحْفُوظٍ,[Inscribed] in a Preserved Slate.,2:03.234
,,,2:09.657
