verse,ar,en,timestamps
25:25,يَوْمَ تَشَقَّقُ السَّمَاءُ بِالْغَمَمِ,"And [mention] the Day when the heaven will split open with [emerging] clouds,",0:00.070
,وَنُزِّلَ الْمَلَئِكَةُ تَنزِيلًا,and the angels will be sent down in successive descent.,0:07.346
25:26,الْمُلْكُ يَوْمَئِذٍ الْحَقُّ لِلرَّحْمَنِ,"True sovereignty, that Day, is for the Most Merciful.",0:12.988
,الْمُلْكُ يَوْمَئِذٍ الْحَقُّ لِلرَّحْمَنِ,"True sovereignty, that Day, is for the Most Merciful.",0:18.840
,وَكَانَ يَوْمًا عَلَى الْكَفِرِينَ عَسِيرًا,And it will be upon the disbelievers a difficult Day.,0:24.546
25:27,وَيَوْمَ يَعَضُّ الظَّالِمُ عَلَى يَدَيْهِ,And the Day the wrongdoer will bite on his hands [in regret],0:29.280
,يَقُولُ يَلَيْتَنِى اتَّخَذْتُ مَعَ الرَّسُولِ سَبِيلً,"he will say, ""Oh, I wish I had taken with the Messenger a way.",0:35.240
,يَقُولُ يَلَيْتَنِى اتَّخَذْتُ مَعَ الرَّسُولِ سَبِيلًا,"he will say, ""Oh, I wish I had taken with the Messenger a way.",0:41.000
25:28,يَوَيْلَتَى لَيْتَنِى لَمْ أَتَّخِذْ فُلَانًا خَلِيلًا,"Oh, woe to me! I wish I had not taken that one as a friend.",0:46.446
,يَوَيْلَتَى,"Oh, woe to me!",0:53.240
,يَوَيْلَتَى لَيْتَنِى لَمْ أَتَّخِذْ فُلَانًا خَلِيلًا,"Oh, woe to me! I wish I had not taken that one as a friend.",0:55.440
25:29,لَّقَدْ أَضَلَّنِى عَنِ الذِّكْرِ بَعْدَ إِذْ جَاءَنِى,He led me away from the remembrance after it had come to me.,1:01.716
,وَكَانَ الشَّيْطَنُ لِلْإِنسَنِ خَذُولًا,"And ever is Satan, to man, a deserter.""",1:09.400
25:30,وَقَالَ الرَّسُولُ يَرَبِّ,"And the Messenger has said, ""O my Lord,",1:15.161
,إِنَّ قَوْمِى اتَّخَذُوا هَذَا الْقُرْءَانَ مَهْجُورًا,"indeed my people have taken this Qur’an as [a thing] abandoned.""",1:18.106
,,,1:24.738
