verse,ar,en,timestamps
,هَلَكَ عَنِّى سُلْطَنِيَهْ,"Gone from me is my authority.""",3:25.730
,خُذُوهُ,"[Allah will say], ""Seize him",3:29.250
,خُذُوهُ,"[Allah will say], ""Seize him",3:34.373
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him.",3:38.093
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him.",3:41.520
,خُذُوهُ فَغُلُّوهُ,"[Allah will say], ""Seize him and shackle him.",3:47.013
,ثُمَّ الْجَحِيمَ صَلُّوهُ,Then into Hellfire drive him.,3:51.452
,ثُمَّ فِى سِلْسِلَةٍ ذَرْعُهَا,Then into a chain whose length,3:55.000
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا,whose length is seventy cubits,3:58.426
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا,whose length is seventy cubits,4:01.680
,ذَرْعُهَا سَبْعُونَ ذِرَاعًا فَاسْلُكُوهُ,"whose length is seventy cubits insert him.""",4:05.160
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ,"Indeed, he did not used to believe in Allah,",4:10.576
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great",4:17.986
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great",4:21.000
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great",4:23.733
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ الْعَظِيمِ,"Indeed, he did not used to believe in Allah, the Most Great",4:26.586
,إِنَّهُ كَانَ لَا يُؤْمِنُ بِاللَّهِ الْعَظِيمِ,"Indeed, he did not used to believe in Allah, the Most Great",4:31.013
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great",4:35.333
,بِاللَّهِ الْعَظِيمِ,"in Allah, the Most Great",4:37.386
,,,4:40.339
