Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:04.160	0:00.000	decimal	Track	
Marker 02	0:08.114	0:00.000	decimal	Cue	
CD Track 03	0:10.653	0:00.000	decimal	Track	
Marker 03	0:13.667	0:00.000	decimal	Cue	
CD Track 05	0:17.386	0:00.000	decimal	Track	
CD Track 06	0:19.853	0:00.000	decimal	Track	
Marker 04	0:22.074	0:00.000	decimal	Cue	
CD Track 08	0:25.760	0:00.000	decimal	Track	
Marker 05	0:29.387	0:00.000	decimal	Cue	
CD Track 09	0:32.586	0:00.000	decimal	Track	
CD Track 10	0:37.306	0:00.000	decimal	Track	
Marker 06	0:41.304	0:00.000	decimal	Cue	
CD Track 11	0:44.346	0:00.000	decimal	Track	
Marker 07	0:47.377	0:00.000	decimal	Cue	
CD Track 12	0:49.960	0:00.000	decimal	Track	
Marker 08	0:53.305	0:00.000	decimal	Cue	
Marker 09	0:57.628	0:00.000	decimal	Cue	
CD Track 13	1:02.973	0:00.000	decimal	Track	
CD Track 22	1:04.346	0:00.000	decimal	Track	
Marker 10	1:08.016	0:00.000	decimal	Cue	
CD Track 14	1:09.920	0:00.000	decimal	Track	
CD Track 15	1:14.813	0:00.000	decimal	Track	
CD Track 16	1:16.133	0:00.000	decimal	Track	
Marker 11	1:21.198	0:00.000	decimal	Cue	
CD Track 17	1:26.506	0:00.000	decimal	Track	
CD Track 18	1:29.680	0:00.000	decimal	Track	
CD Track 19	1:35.000	0:00.000	decimal	Track	
Marker 12	1:39.664	0:00.000	decimal	Cue	
CD Track 20	1:44.800	0:00.000	decimal	Track	
CD Track 21	1:47.373	0:00.000	decimal	Track	
Marker 13	1:52.405	0:00.000	decimal	Cue	
