verse,ar,en,timestamps
76:11,فَوَقَىهُمُ اللَّهُ شَرَّ ذَلِكَ الْيَوْمِ,So Allah will protect them from the evil of that Day,0:00.000
,وَلَقَّىهُمْ نَضْرَةً وَسُرُورًا,and give them radiance and happiness,0:04.160
76:12,وَجَزَىهُم بِمَا صَبَرُوا,And will reward them for what they patiently endured,0:08.114
,جَنَّةً وَحَرِيرًا,[with] a garden [in Paradise] and silk [garments].,0:10.653
76:13,مُّتَّكِـِٔينَ فِيهَا عَلَى الْأَرَائِكِ,[They will be] reclining therein on adorned couches.,0:13.667
,لَا يَرَوْنَ فِيهَا شَمْسًا,They will not see therein any [burning] sun,0:17.386
,وَلَا زَمْهَرِيرًا,or [freezing] cold.,0:19.853
76:14,وَدَانِيَةً عَلَيْهِمْ ظِلَلُهَا,"And near above them are its shades,",0:22.074
,وَذُلِّلَتْ قُطُوفُهَا تَذْلِيلًا,and its [fruit] to be picked will be lowered in compliance.,0:25.760
76:15,وَيُطَافُ عَلَيْهِم بَِٔانِيَةٍ,And there will be circulated among them vessels,0:29.387
,بَِٔانِيَةٍ مِّن فِضَّةٍ وَأَكْوَابٍ,vessels of silver and cups,0:32.586
,وَأَكْوَابٍ كَانَتْ قَوَارِيرَا,"and cups having been [created] clear [as glass],",0:37.306
76:16,قَوَارِيرَا مِن فِضَّةٍ,Clear glasses [made] from silver,0:41.304
,قَدَّرُوهَا تَقْدِيرًا,of which they have determined the measure.,0:44.346
76:17,وَيُسْقَوْنَ فِيهَا كَأْسًا,And they will be given to drink a cup [of wine],0:47.377
,كَانَ مِزَاجُهَا زَنجَبِيلًا,whose mixture is of ginger,0:49.960
76:18,عَيْنًا فِيهَا تُسَمَّى سَلْسَبِيلًا,"[From] a fountain within it [i.e., Paradise] named Salsabeel.",0:53.305
76:19,وَيَطُوفُ عَلَيْهِمْ وِلْدَنٌ مُّخَلَّدُونَ,There will circulate among them young boys made eternal.,0:57.628
,إِذَا رَأَيْتَهُمْ,"When you see them,",1:02.973
,حَسِبْتَهُمْ لُؤْلُؤًا مَّنثُورًا,you would think them [as beautiful as] scattered pearls.,1:04.346
76:20,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],",1:08.016
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,1:09.920
,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],",1:14.813
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,1:16.133
76:21,عَلِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ,"Upon them [i.e., the inhabitants] will be green garments of fine silk and brocade.",1:21.198
,وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ,"And they will be adorned with bracelets of silver,",1:26.506
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,1:29.680
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,1:35.000
76:22,إِنَّ هَذَا كَانَ لَكُمْ جَزَاءً,"[And it will be said], ""Indeed, this is for you a reward,",1:39.664
,وَكَانَ سَعْيُكُم,and your effort,1:44.800
,وَكَانَ سَعْيُكُم مَّشْكُورًا,"and your effort has been appreciated.""",1:47.373
,,,1:52.405
