verse,ar,en,timestamps
76:20,إِذَا رَأَيْتَ,"when you look there [in Paradise],",0:00.021
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,0:01.706
,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],",0:06.600
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,0:07.920
76:21,عَلِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ,"Upon them [i.e., the inhabitants] will be green garments of fine silk and brocade.",0:13.000
,وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ,"And they will be adorned with bracelets of silver,",0:18.306
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,0:21.466
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,0:26.786
76:22,إِنَّ هَذَا كَانَ لَكُمْ جَزَاءً,"[And it will be said], ""Indeed, this is for you a reward,",0:31.472
,وَكَانَ سَعْيُكُم,and your effort has been,0:36.573
,وَكَانَ سَعْيُكُم مَّشْكُورًا,"and your effort has been appreciated.""",0:39.160
,,,0:44.068
