Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.363	0:00.000	decimal	Cue	
CD Track 01	0:05.733	0:00.000	decimal	Track	
CD Track 02	0:08.866	0:00.000	decimal	Track	
Marker 02	0:12.978	0:00.000	decimal	Cue	
CD Track 03	0:16.013	0:00.000	decimal	Track	
CD Track 04	0:18.466	0:00.000	decimal	Track	
Marker 03	0:21.984	0:00.000	decimal	Cue	
CD Track 05	0:25.586	0:00.000	decimal	Track	
Marker 04	0:29.884	0:00.000	decimal	Cue	
CD Track 06	0:33.280	0:00.000	decimal	Track	
CD Track 07	0:35.906	0:00.000	decimal	Track	
Marker 05	0:40.115	0:00.000	decimal	Cue	
