Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.079	0:00.000	decimal	Cue	
Marker 02	0:06.899	0:00.000	decimal	Cue	
Marker 03	0:10.383	0:00.000	decimal	Cue	
Marker 04	0:13.000	0:00.000	decimal	Cue	
CD Track 01	0:18.973	0:00.000	decimal	Track	
Marker 05	0:24.742	0:00.000	decimal	Cue	
Marker 06	0:28.013	0:00.000	decimal	Cue	
Marker 07	0:32.118	0:00.000	decimal	Cue	
Marker 08	0:34.549	0:00.000	decimal	Cue	
Marker 09	0:39.927	0:00.000	decimal	Cue	
Marker 10	0:42.919	0:00.000	decimal	Cue	
Marker 11	0:46.594	0:00.000	decimal	Cue	
CD Track 02	0:48.560	0:00.000	decimal	Track	
CD Track 03	0:51.213	0:00.000	decimal	Track	
Marker 12	0:55.559	0:00.000	decimal	Cue	
Marker 13	0:58.579	0:00.000	decimal	Cue	
Marker 14	1:02.438	0:00.000	decimal	Cue	
CD Track 04	1:05.426	0:00.000	decimal	Track	
Marker 15	1:08.000	0:00.000	decimal	Cue	
