verse,ar,en,timestamps
70:1,سَأَلَ سَآئِلٌۢ بِعَذَابٍ وَاقِعٍ,A supplicant asked for a punishment bound to happen,0:00.079
70:2,لِّلْكَـٰفِرِينَ لَيْسَ لَهُۥ دَافِعٌ,To the disbelievers; of it there is no preventer.,0:06.899
70:3,مِّنَ ٱللَّهِ ذِى ٱلْمَعَارِجِ,"[It is] from Allah, owner of the ways of ascent.",0:10.383
70:4,تَعْرُجُ ٱلْمَلَـٰٓئِكَةُ وَٱلرُّوحُ إِلَيْهِ فِى يَوْمٍ,"The angels and the Spirit [i.e., Gabriel] will ascend to Him during a Day",0:13.000
,فِى يَوْمٍ كَانَ مِقْدَارُهُۥ خَمْسِينَ أَلْفَ سَنَةٍ,during a Day the extent of which is fifty thousand years.,0:18.973
70:5,فَٱصْبِرْ صَبْرًا جَمِيلًا,So be patient with gracious patience.,0:24.742
70:6,إِنَّهُمْ يَرَوْنَهُۥ بَعِيدًا,"Indeed, they see it [as] distant,",0:28.013
70:7,وَنَرَىٰهُ قَرِيبًا,But We see it [as] near.,0:32.118
70:8,يَوْمَ تَكُونُ ٱلسَّمَآءُ كَٱلْمُهْلِ,"On the Day the sky will be like murky oil,",0:34.549
70:9,وَتَكُونُ ٱلْجِبَالُ كَٱلْعِهْنِ,"And the mountains will be like wool,",0:39.927
70:10,وَلَا يَسْـَٔلُ حَمِيمٌ حَمِيمًا,"And no friend will ask [anything of] a friend,",0:42.919
70:11,يُبَصَّرُونَهُمْ ۚ,They will be shown each other.,0:46.594
,يَوَدُّ ٱلْمُجْرِمُ لَوْ يَفْتَدِى,The criminal will wish that he could be ransomed,0:48.560
,مِنْ عَذَابِ يَوْمِئِذٍۭ بِبَنِيهِ,from the punishment of that Day by his children.,0:51.213
70:12,وَصَـٰحِبَتِهِۦ وَأَخِيهِ,And his wife and his brother,0:55.559
70:13,وَفَصِيلَتِهِ ٱلَّتِى تُـْٔوِيهِ,And his nearest kindred who shelter him.,0:58.579
70:14,وَمَن فِى ٱلْأَرْضِ جَمِيعًا,And whoever is on earth entirely,1:02.438
,ثُمَّ يُنجِيهِ,[so] then it could save him.,1:05.426
,,,1:08.000
