Name	Start	Duration	Time Format	Type	Description
Marker 01	0:48.049	0:00.000	decimal	Cue	
CD Track 02	0:49.000	0:00.000	decimal	Track	
CD Track 01	0:53.253	0:00.000	decimal	Track	
CD Track 03	0:54.840	0:00.000	decimal	Track	
Marker 02	0:59.859	0:00.000	decimal	Cue	
CD Track 04	1:06.066	0:00.000	decimal	Track	
CD Track 05	1:10.693	0:00.000	decimal	Track	
CD Track 06	1:15.493	0:00.000	decimal	Track	
Marker 03	1:17.733	0:00.000	decimal	Cue	
CD Track 07	1:21.320	0:00.000	decimal	Track	
CD Track 08	1:27.200	0:00.000	decimal	Track	
CD Track 09	1:28.226	0:00.000	decimal	Track	
CD Track 10	1:35.026	0:00.000	decimal	Track	
CD Track 11	1:41.133	0:00.000	decimal	Track	
Marker 04	1:49.956	0:00.000	decimal	Cue	
CD Track 12	1:52.386	0:00.000	decimal	Track	
CD Track 13	1:56.106	0:00.000	decimal	Track	
CD Track 17	1:58.293	0:00.000	decimal	Track	
CD Track 14	2:01.626	0:00.000	decimal	Track	
CD Track 15	2:05.346	0:00.000	decimal	Track	
Marker 05	2:11.056	0:00.000	decimal	Cue	
CD Track 16	2:14.533	0:00.000	decimal	Track	
Marker 06	2:20.000	0:00.000	decimal	Cue	
