verse,ar,en,timestamps
23:97,وَقُل رَّبِّ,"And say, ""My Lord,",0:48.049
,أَعُوذُ بِكَ مِنْ هَمَزَٰتِ ٱلشَّيَـٰطِينِ,"I seek refuge in You from the incitements of the devils,",0:49.000
23:98,وَأَعُوذُ بِكَ رَبِّ,"And I seek refuge in You, my Lord,",0:53.253
,أَن يَحْضُرُونِ,"lest they be present with me.""",0:54.840
23:99,حَتَّىٰٓ إِذَا جَآءَ أَحَدَهُمُ ٱلْمَوْتُ,"[For such is the state of the disbelievers] until, when death comes to one of them,",0:59.859
,حَتَّىٰٓ إِذَا جَآءَ أَحَدَهُمُ ٱلْمَوْتُ,"[For such is the state of the disbelievers] until, when death comes to one of them,",1:06.066
,قَالَ رَبِّ ٱرْجِعُونِ,"he says, ""My Lord, send me back",1:10.693
,قَالَ رَبِّ ٱرْجِعُونِ,"he says, ""My Lord, send me back",1:15.493
23:100,لَعَلِّىٓ أَعْمَلُ صَـٰلِحًا,That I might do righteousness,1:17.733
,لَعَلِّىٓ أَعْمَلُ صَـٰلِحًا فِيمَا تَرَكْتُ ۚ,"That I might do righteousness in that which I left behind.""",1:21.320
,كَلَّآ ۚ,No!,1:27.200
,إِنَّهَا كَلِمَةٌ هُوَ قَآئِلُهَا ۖ,It is only a word he is saying;,1:28.226
,إِنَّهَا كَلِمَةٌ هُوَ قَآئِلُهَا ۖ,It is only a word he is saying;,1:35.026
,وَمِن وَرَآئِهِم بَرْزَخٌ إِلَىٰ يَوْمِ يُبْعَثُونَ,and behind them is a barrier until the Day they are resurrected.,1:41.133
23:101,فَإِذَا نُفِخَ فِى ٱلصُّورِ,"So when the Horn is blown,",1:49.956
,فَلَآ أَنسَابَ بَيْنَهُمْ,no relationship will there be among them,1:52.386
,فَإِذَا نُفِخَ فِى ٱلصُّورِ,"So when the Horn is blown,",1:56.106
,فَلَآ أَنسَابَ بَيْنَهُمْ,no relationship will there be among them,1:58.293
,فَلَآ أَنسَابَ بَيْنَهُمْ يَوْمَئِذٍ,"no relationship will there be among them that Day,",2:01.626
,وَلَا يَتَسَآءَلُونَ,nor will they ask about one another.,2:05.346
23:102,فَمَن ثَقُلَتْ مَوَٰزِينُهُۥ,And those whose scales are heavy [with good deeds] -,2:11.056
,فَأُولَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,it is they who are the successful.,2:14.533
,,,2:20.000
