verse,ar,en,timestamps
83:18,كَلَّآ,No!,1:56.458
,إِنَّ كِتَـٰبَ ٱلْأَبْرَارِ لَفِى عِلِّيِّينَ,"Indeed, the record of the righteous is in 'illiyyun.",1:57.093
83:19,وَمَآ أَدْرَىٰكَ مَا عِلِّيُّونَ,And what can make you know what is 'illiyyun?,2:01.859
83:20,كِتَـٰبٌ مَّرْقُومٌ,It is [their destination recorded in] a register inscribed,2:05.888
83:21,يَشْهَدُهُ ٱلْمُقَرَّبُونَ,Which is witnessed by those brought near [to Allah].,2:08.782
83:22,إِنَّ ٱلْأَبْرَارَ لَفِى نَعِيمٍ,"Indeed, the righteous will be in pleasure",2:12.260
83:23,عَلَى ٱلْأَرَآئِكِ يَنظُرُونَ,"On adorned couches, observing.",2:16.570
83:24,تَعْرِفُ فِى وُجُوهِهِمْ نَضْرَةَ ٱلنَّعِيمِ,You will recognize in their faces the radiance of pleasure.,2:24.528
83:25,يُسْقَوْنَ مِن رَّحِيقٍ مَّخْتُومٍ,They will be given to drink [pure] wine [which was] sealed.,2:30.014
83:26,خِتَـٰمُهُۥ مِسْكٌ ۚ,The last of it is musk.,2:33.868
,وَفِى ذَٰلِكَ فَلْيَتَنَافَسِ ٱلْمُتَنَـٰفِسُونَ,So for this let the competitors compete.,2:36.080
83:27,وَمِزَاجُهُۥ مِن تَسْنِيمٍ,"And its mixture is of Tasneem,",2:42.176
83:28,عَيْنًا يَشْرَبُ بِهَا ٱلْمُقَرَّبُونَ,A spring from which those near [to Allah] drink.,2:46.286
,,,2:50.574
