Name	Start	Duration	Time Format	Type	Description
Marker 01	5:18.507	0:00.000	decimal	Cue	
Marker 02	5:23.744	0:00.000	decimal	Cue	
CD Track 01	5:28.773	0:00.000	decimal	Track	
CD Track 07	5:31.666	0:00.000	decimal	Track	
CD Track 03	5:33.946	0:00.000	decimal	Track	
Marker 03	5:36.464	0:00.000	decimal	Cue	
Marker 04	5:41.356	0:00.000	decimal	Cue	
Marker 05	5:48.904	0:00.000	decimal	Cue	
CD Track 04	5:52.640	0:00.000	decimal	Track	
Marker 06	5:55.410	0:00.000	decimal	Cue	
Marker 07	5:59.539	0:00.000	decimal	Cue	
Marker 08	6:04.848	0:00.000	decimal	Cue	
CD Track 06	6:11.093	0:00.000	decimal	Track	
Marker 09	6:17.503	0:00.000	decimal	Cue	
Marker 10	6:24.192	0:00.000	decimal	Cue	
