Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.035	0:00.000	decimal	Cue	
Marker 02	0:05.770	0:00.000	decimal	Cue	
CD Track 01	0:09.960	0:00.000	decimal	Track	
Marker 03	0:12.808	0:00.000	decimal	Cue	
CD Track 02	0:17.866	0:00.000	decimal	Track	
Marker 04	0:20.452	0:00.000	decimal	Cue	
CD Track 03	0:25.493	0:00.000	decimal	Track	
Marker 05	0:30.109	0:00.000	decimal	Cue	
CD Track 04	0:34.133	0:00.000	decimal	Track	
Marker 06	0:37.149	0:00.000	decimal	Cue	
Marker 07	0:43.124	0:00.000	decimal	Cue	
Marker 08	0:47.000	0:00.000	decimal	Cue	
