Name	Start	Duration	Time Format	Type	Description
Marker 01	2:28.456	0:00.000	decimal	Cue	
CD Track 02	2:37.666	0:00.000	decimal	Track	
Marker 02	2:45.593	0:00.000	decimal	Cue	
CD Track 03	2:49.720	0:00.000	decimal	Track	
Marker 03	2:54.293	0:00.000	decimal	Cue	
CD Track 04	2:58.533	0:00.000	decimal	Track	
CD Track 05	3:02.826	0:00.000	decimal	Track	
Marker 04	3:06.360	0:00.000	decimal	Cue	
Marker 05	3:09.040	0:00.000	decimal	Cue	
Marker 06	3:11.697	0:00.000	decimal	Cue	
CD Track 07	3:15.360	0:00.000	decimal	Track	
Marker 08	3:18.838	0:00.000	decimal	Cue	
CD Track 08	3:22.973	0:00.000	decimal	Track	
CD Track 09	3:26.600	0:00.000	decimal	Track	
CD Track 10	3:28.146	0:00.000	decimal	Track	
Marker 09	3:31.440	0:00.000	decimal	Cue	
CD Track 11	3:34.493	0:00.000	decimal	Track	
CD Track 12	3:37.920	0:00.000	decimal	Track	
Marker 10	3:42.495	0:00.000	decimal	Cue	
