verse,ar,en,timestamps
79:34,فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَى,But when there comes the greatest Overwhelming Calamity -,0:00.233
,فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَى,But when there comes the greatest Overwhelming Calamity -,0:09.453
79:35,يَوْمَ يَتَذَكَّرُ الْإِنسَنُ مَا سَعَى,"The Day when man will remember that for which he strove,",0:17.371
,يَوْمَ يَتَذَكَّرُ الْإِنسَنُ مَا سَعَى,"The Day when man will remember that for which he strove,",0:21.493
79:36,وَبُرِّزَتِ الْجَحِيمُ,And Hellfire will be exposed,0:26.039
,وَبُرِّزَتِ الْجَحِيمُ لِمَن يَرَى,And Hellfire will be exposed for [all] those who see -,0:30.266
,وَبُرِّزَتِ الْجَحِيمُ لِمَن يَرَى,And Hellfire will be exposed for [all] those who see -,0:34.640
79:37,فَأَمَّا مَن طَغَى,So as for he who transgressed,0:38.165
79:38,وَءَاثَرَ الْحَيَوةَ الدُّنْيَا,"And preferred the life of the world,",0:40.802
79:39,فَإِنَّ الْجَحِيمَ هِىَ الْمَأْوَى,"Then indeed, Hellfire will be [his] refuge.",0:43.519
,فَإِنَّ الْجَحِيمَ هِىَ الْمَأْوَى,"Then indeed, Hellfire will be [his] refuge.",0:47.186
79:40,وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ,But as for he who feared the position of his Lord,0:50.659
,وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ,But as for he who feared the position of his Lord,0:54.800
,وَنَهَى النَّفْسَ,and prevented the soul,0:58.400
,وَنَهَى النَّفْسَ عَنِ الْهَوَى,"and prevented the soul from [unlawful] inclination,",0:59.946
79:41,فَإِنَّ الْجَنَّةَ,"Then indeed, Paradise",1:03.261
,فَإِنَّ الْجَنَّةَ,"Then indeed, Paradise",1:06.280
,فَإِنَّ الْجَنَّةَ هِىَ الْمَأْوَى,"Then indeed, Paradise will be [his] refuge.",1:09.733
,,,1:14.102
