verse,ar,en,timestamps
4:27,وَاللَّهُ يُرِيدُ أَن يَتُوبَ عَلَيْكُمْ,"Allah wants to accept your repentance,",0:00.282
,وَيُرِيدُ الَّذِينَ يَتَّبِعُونَ الشَّهَوَتِ أَن,but those who follow [their] passions want,0:05.253
,تَمِيلُوا مَيْلًا عَظِيمًا,you to digress [into] a great deviation.,0:10.400
4:28,يُرِيدُ اللَّهُ أَن يُخَفِّفَ عَنكُمْ,And Allah wants to lighten for you [your difficulties];,0:13.886
,وَخُلِقَ الْإِنسَنُ ضَعِيفًا,and mankind was created weak.,0:17.960
4:29,يَأَيُّهَا الَّذِينَ ءَامَنُوا,"O you who have believed,",0:23.131
,لَا تَأْكُلُوا أَمْوَلَكُم بَيْنَكُم بِالْبَطِلِ,do not consume one another's wealth unjustly,0:26.080
,إِلَّا,but,0:32.346
,إِلَّا أَن تَكُونَ تِجَرَةً عَن تَرَاضٍ مِّنكُمْ,but only [in lawful] business by mutual consent.,0:33.600
,وَلَا تَقْتُلُوا أَنفُسَكُمْ,And do not kill yourselves [or one another].,0:42.400
,إِنَّ اللَّهَ كَانَ بِكُمْ رَحِيمًا,"Indeed, Allah is to you ever Merciful.",0:45.933
,,,0:50.234
