Name	Start	Duration	Time Format	Type	Description
Marker 01	0:13.879	0:00.000	decimal	Cue	
CD Track 01	0:21.320	0:00.000	decimal	Track	
CD Track 02	0:27.306	0:00.000	decimal	Track	
CD Track 16	0:28.800	0:00.000	decimal	Track	
CD Track 07	0:33.186	0:00.000	decimal	Track	
CD Track 06	0:35.733	0:00.000	decimal	Track	
CD Track 08	0:37.800	0:00.000	decimal	Track	
CD Track 17	0:41.413	0:00.000	decimal	Track	
CD Track 09	0:42.946	0:00.000	decimal	Track	
CD Track 12	0:44.960	0:00.000	decimal	Track	
CD Track 18	0:47.026	0:00.000	decimal	Track	
CD Track 19	0:50.133	0:00.000	decimal	Track	
CD Track 10	0:52.320	0:00.000	decimal	Track	
CD Track 20	0:55.773	0:00.000	decimal	Track	
CD Track 11	1:00.066	0:00.000	decimal	Cue	
CD Track 22	1:01.840	0:00.000	decimal	Track	
CD Track 13	1:05.613	0:00.000	decimal	Track	
CD Track 23	1:07.146	0:00.000	decimal	Track	
CD Track 14	1:11.146	0:00.000	decimal	Track	
CD Track 15	1:17.253	0:00.000	decimal	Track	
Marker 02	1:21.243	0:00.000	decimal	Cue	
