Name	Start	Duration	Time Format	Type	Description
Marker 02	05:13.878	0:00.000	decimal	Cue	
CD Track 01	05:21.715	0:00.000	decimal	Cue	
CD Track 02	05:25.448	0:00.000	decimal	Track	
Marker 03	05:28.768	0:00.000	decimal	Track	
Marker 04	05:34.095	0:00.000	decimal	Cue	
Marker 05	05:40.423	0:00.000	decimal	Cue	
CD Track 03	05:43.301	0:00.000	decimal	Track	
Marker 06	05:47.814	0:00.000	decimal	Cue	
CD Track 04	05:51.608	0:00.000	decimal	Track	
Marker 07	05:53.469	0:00.000	decimal	Cue	
Marker 08	06:01.517	0:00.000	decimal	Cue	
Marker 09	06:08.678	0:00.000	decimal	Cue	
Marker 10	06:18.523	0:00.000	decimal	Cue	
