verse,ar,en,timestamps
55:40,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:00.283
55:41,يُعْرَفُ الْمُجْرِمُونَ بِسِيمَهُمْ,"The criminals will be known by their marks,",0:08.120
,فَيُؤْخَذُ بِالنَّوَصِى,and they will be seized by the forelocks.,0:11.853
,فَيُؤْخَذُ بِالنَّوَصِى وَالْأَقْدَامِ,and they will be seized by the forelocks and the feet.,0:15.173
55:42,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:20.500
55:43,هَذِهِ جَهَنَّمُ,"This is Hell,",0:26.828
,الَّتِى يُكَذِّبُ بِهَا الْمُجْرِمُونَ,which the criminals deny.,0:29.706
55:44,يَطُوفُونَ بَيْنَهَا وَبَيْنَ حَمِيمٍ,"They will circulate between it and scalding water,",0:34.219
,ءَانٍ,heated [to the utmost degree].,0:38.013
55:45,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny?,0:39.874
55:46,وَلِمَنْ خَافَ مَقَامَ رَبِّهِ جَنَّتَانِ,But for he who has feared the position of his Lord are two gardens -,0:47.922
55:47,فَبِأَىِّ ءَالَاءِ رَبِّكُمَا تُكَذِّبَانِ,So which of the favors of your Lord would you deny? -,0:55.083
,,,1:04.928
