Name	Start	Duration	Time Format	Type	Description
Marker 02	0:19.065	0:00.000	decimal	Cue	
CD Track 01	0:24.400	0:00.000	decimal	Track	
CD Track 02	0:29.560	0:00.000	decimal	Track	
CD Track 03	0:34.706	0:00.000	decimal	Track	
CD Track 04	0:36.226	0:00.000	decimal	Track	
CD Track 05	0:39.613	0:00.000	decimal	Track	
CD Track 06	0:41.266	0:00.000	decimal	Track	
CD Track 07	0:42.666	0:00.000	decimal	Track	
CD Track 08	0:44.493	0:00.000	decimal	Track	
Marker 03	0:48.175	0:00.000	decimal	Cue	
CD Track 10	0:53.266	0:00.000	decimal	Track	
CD Track 11	0:54.693	0:00.000	decimal	Track	
CD Track 13	0:58.080	0:00.000	decimal	Track	
CD Track 14	1:01.373	0:00.000	decimal	Track	
CD Track 15	1:04.466	0:00.000	decimal	Track	
CD Track 16	1:07.560	0:00.000	decimal	Track	
CD Track 17	1:10.746	0:00.000	decimal	Track	
CD Track 18	1:18.226	0:00.000	decimal	Track	
Marker 04	1:22.903	0:00.000	decimal	Cue	
CD Track 19	1:28.946	0:00.000	decimal	Track	
CD Track 20	1:32.160	0:00.000	decimal	Track	
CD Track 21	1:35.306	0:00.000	decimal	Track	
Marker 05	1:43.505	0:00.000	decimal	Cue	
