Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.380	0:00.000	decimal	Cue	
Marker 02	0:04.737	0:00.000	decimal	Cue	
CD Track 01	0:08.160	0:00.000	decimal	Track	
Marker 03	0:11.194	0:00.000	decimal	Cue	
Marker 04	0:15.781	0:00.000	decimal	Cue	
Marker 05	0:19.275	0:00.000	decimal	Cue	
CD Track 02	0:22.480	0:00.000	decimal	Track	
Marker 06	0:27.597	0:00.000	decimal	Cue	
Marker 07	0:31.657	0:00.000	decimal	Cue	
CD Track 06	0:35.000	0:00.000	decimal	Track	
Marker 09	0:37.080	0:00.000	decimal	Cue	
Marker 10	0:41.362	0:00.000	decimal	Cue	
CD Track 03	0:44.786	0:00.000	decimal	Track	
Marker 11	0:48.202	0:00.000	decimal	Cue	
Marker 13	0:52.824	0:00.000	decimal	Subclip	
Marker 12	0:53.750	0:00.000	decimal	Cue	
Marker 14	0:59.718	0:00.000	decimal	Cue	
Marker 15	1:03.968	0:00.000	decimal	Cue	
Marker 16	1:07.881	0:00.000	decimal	Cue	
Marker 17	1:11.439	0:00.000	decimal	Subclip	
Marker 18	1:12.441	0:00.000	decimal	Cue	
CD Track 04	1:16.466	0:00.000	decimal	Track	
Marker 19	1:21.043	0:00.000	decimal	Cue	
CD Track 05	1:24.320	0:00.000	decimal	Track	
Marker 21	1:28.978	0:00.000	decimal	Cue	
Marker 22	1:37.194	0:00.000	decimal	Cue	
