verse,ar,en,timestamps
26:160,كَذَّبَتْ قَوْمُ لُوطٍ ٱلْمُرْسَلِينَ,The people of Lot denied the messengers,0:00.380
26:161,إِذْ قَالَ لَهُمْ أَخُوهُمْ لُوطٌ,"When their brother Lot said to them,",0:04.737
,أَلَا تَتَّقُونَ,"""Will you not fear Allah?",0:08.160
26:162,إِنِّى لَكُمْ رَسُولٌ أَمِينٌ,"Indeed, I am to you a trustworthy messenger.",0:11.194
26:163,فَٱتَّقُوا ٱللَّهَ وَأَطِيعُونِ,So fear Allah and obey me.,0:15.781
26:164,وَمَآ أَسْـَٔلُكُمْ عَلَيْهِ مِنْ أَجْرٍ ۖ,And I do not ask you for it any payment.,0:19.275
,إِنْ أَجْرِىَ إِلَّا عَلَىٰ رَبِّ ٱلْعَـٰلَمِينَ,My payment is only from the Lord of the worlds.,0:22.480
26:165,أَتَأْتُونَ ٱلذُّكْرَانَ مِنَ ٱلْعَـٰلَمِينَ,Do you approach males among the worlds,0:27.597
26:166,وَتَذَرُونَ مَا خَلَقَ لَكُمْ رَبُّكُم,And leave what your Lord has created for you,0:31.657
,مِّنْ أَزْوَٰجِكُم ۚ,as mates?,0:35.000
,بَلْ أَنتُمْ قَوْمٌ عَادُونَ,"But you are a people transgressing.""",0:37.080
26:167,قَالُوا لَئِن لَّمْ تَنتَهِ يَـٰلُوطُ,"They said, ""If you do not desist, O Lot,",0:41.362
,لَتَكُونَنَّ مِنَ ٱلْمُخْرَجِينَ,"you will surely be of those evicted.""",0:44.786
26:168,قَالَ إِنِّى لِعَمَلِكُم مِّنَ ٱلْقَالِينَ,"He said, ""Indeed, I am, toward your deed, of those who detest [it].",0:48.202
26:169,رَبِّ نَجِّنِى وَأَهْلِى مِمَّا يَعْمَلُونَ,"My Lord, save me and my family from [the consequence of] what they do.""","0:53.750,0:52.824"
26:170,فَنَجَّيْنَـٰهُ وَأَهْلَهُۥٓ أَجْمَعِينَ,"So We saved him and his family, all,",0:59.718
26:171,إِلَّا عَجُوزًا فِى ٱلْغَـٰبِرِينَ,Except an old woman among those who remained behind.,1:03.968
26:172,ثُمَّ دَمَّرْنَا ٱلْـَٔاخَرِينَ,Then We destroyed the others.,1:07.881
26:173,وَأَمْطَرْنَا عَلَيْهِم مَّطَرًا ۖ,"And We rained upon them a rain [of stones],","1:12.441,1:11.439"
,فَسَآءَ مَطَرُ ٱلْمُنذَرِينَ,and evil was the rain of those who were warned.,1:16.466
26:174,إِنَّ فِى ذَٰلِكَ لَـَٔايَةً ۖ,"Indeed in that is a sign,",1:21.043
,وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,but most of them were not to be believers.,1:24.320
26:175,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,"And indeed, your Lord - He is the Exalted in Might, the Merciful.",1:28.978
,,,1:37.194
