Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:04.320	0:00.000	decimal	Track	
CD Track 02	0:09.146	0:00.000	decimal	Track	
CD Track 03	0:11.533	0:00.000	decimal	Track	
CD Track 16	0:15.346	0:00.000	decimal	Track	
Marker 02	0:17.857	0:00.000	decimal	Cue	
CD Track 17	0:20.866	0:00.000	decimal	Track	
Marker 03	0:23.535	0:00.000	decimal	Cue	
Marker 04	0:27.978	0:00.000	decimal	Cue	
CD Track 18	0:31.773	0:00.000	decimal	Track	
Marker 05	0:34.887	0:00.000	decimal	Cue	
Marker 06	0:40.330	0:00.000	decimal	Cue	
CD Track 04	0:44.280	0:00.000	decimal	Track	
CD Track 05	0:49.280	0:00.000	decimal	Track	
CD Track 19	0:52.653	0:00.000	decimal	Track	
CD Track 06	0:56.053	0:00.000	decimal	Track	
CD Track 07	1:00.773	0:00.000	decimal	Track	
Marker 07	1:06.455	0:00.000	decimal	Cue	
CD Track 08	1:14.706	0:00.000	decimal	Track	
CD Track 09	1:21.880	0:00.000	decimal	Track	
CD Track 10	1:25.880	0:00.000	decimal	Track	
CD Track 11	1:29.320	0:00.000	decimal	Track	
CD Track 12	1:34.560	0:00.000	decimal	Track	
CD Track 13	1:39.480	0:00.000	decimal	Track	
CD Track 15	1:43.013	0:00.000	decimal	Track	
Marker 08	1:46.298	0:00.000	decimal	Cue	
