verse,ar,en,timestamps
39:10,قُلْ يَـٰعِبَادِ ٱلَّذِينَ ءَامَنُوا ٱتَّقُوا رَبَّكُمْ ۚ,"Say, ""O My servants who have believed, fear your Lord.",0:00.000
,لِلَّذِينَ أَحْسَنُوا فِى هَـٰذِهِ ٱلدُّنْيَا حَسَنَةٌ ۗ,"For those who do good in this world is good,",0:04.320
,وَأَرْضُ ٱللَّهِ وَٰسِعَةٌ ۗ,and the earth of Allah is spacious.,0:09.146
,إِنَّمَا يُوَفَّى ٱلصَّـٰبِرُونَ أَجْرَهُم,"Indeed, the patient will be given their reward",0:11.533
,بِغَيْرِ حِسَابٍ,"without account [i.e., limit].""",0:15.346
39:11,قُلْ إِنِّىٓ أُمِرْتُ أَنْ أَعْبُدَ ٱللَّهَ,"Say, [O Muhammad], ""Indeed, I have been commanded to worship Allah,",0:17.857
,مُخْلِصًا لَّهُ ٱلدِّينَ,[being] sincere to Him in religion.,0:20.866
39:12,وَأُمِرْتُ لِأَنْ أَكُونَ أَوَّلَ ٱلْمُسْلِمِينَ,"And I have been commanded to be the first [among you] of the Muslims.""",0:23.535
39:13,قُلْ إِنِّىٓ أَخَافُ إِنْ عَصَيْتُ رَبِّى,"Say, ""Indeed I fear, if I should disobey my Lord,",0:27.978
,عَذَابَ يَوْمٍ عَظِيمٍ,"the punishment of a tremendous Day.""",0:31.773
39:14,قُلِ ٱللَّهَ أَعْبُدُ مُخْلِصًا لَّهُۥ دِينِى,"Say, ""Allah [alone] do I worship, sincere to Him in my religion,",0:34.887
39:15,فَٱعْبُدُوا مَا شِئْتُم مِّن دُونِهِۦ ۗ,"So worship what you will besides Him.""",0:40.330
,قُلْ إِنَّ ٱلْخَـٰسِرِينَ ٱلَّذِينَ خَسِرُوٓا,"Say, ""Indeed, the losers are the ones who will lose",0:44.280
,ٱلَّذِينَ خَسِرُوٓا أَنفُسَهُمْ,the ones who will lose themselves,0:49.280
,وَأَهْلِيهِمْ يَوْمَ ٱلْقِيَـٰمَةِ ۗ,and their families on the Day of Resurrection.,0:52.653
,أَلَا ذَٰلِكَ هُوَ ٱلْخُسْرَانُ,"Unquestionably, that is the loss.""",0:56.053
,أَلَا ذَٰلِكَ هُوَ ٱلْخُسْرَانُ ٱلْمُبِينُ,"Unquestionably, that is the manifest loss.""",1:00.773
39:16,لَهُم مِّن فَوْقِهِمْ ظُلَلٌ مِّنَ ٱلنَّارِ,"They will have canopies [i.e., layers] of fire above them",1:06.455
,لَهُم مِّن فَوْقِهِمْ ظُلَلٌ مِّنَ ٱلنَّارِ,"They will have canopies [i.e., layers] of fire above them",1:14.706
,لَهُم مِّن فَوْقِهِمْ ظُلَلٌ مِّنَ ٱلنَّارِ,"They will have canopies [i.e., layers] of fire above them",1:21.880
,وَمِن تَحْتِهِمْ ظُلَلٌ ۚ,"and below them, canopies.",1:25.880
,ذَٰلِكَ يُخَوِّفُ ٱللَّهُ بِهِۦ عِبَادَهُۥ ۚ,"By that Allah threatens [i.e., warns] His servants.",1:29.320
,ذَٰلِكَ يُخَوِّفُ ٱللَّهُ بِهِۦ عِبَادَهُۥ ۚ,"By that Allah threatens [i.e., warns] His servants.",1:34.560
,ذَٰلِكَ يُخَوِّفُ ٱللَّهُ بِهِۦ عِبَادَهُۥ ۚ,"By that Allah threatens [i.e., warns] His servants.",1:39.480
,يَـٰعِبَادِ فَٱتَّقُونِ,"O My servants, then fear Me.",1:43.013
,,,1:46.298
