verse,ar,en,timestamps
35:33,جَنَّـٰتُ عَدْنٍ يَدْخُلُونَهَا,[For them are] gardens of perpetual residence which they will enter.,0:00.000
,يُحَلَّوْنَ فِيهَا مِنْ أَسَاوِرَ مِن ذَهَبٍ,They will be adorned therein with bracelets of gold,0:04.266
,وَلُؤْلُؤًا ۖ,"and pearls,",0:10.000
,جَنَّـٰتُ عَدْنٍ يَدْخُلُونَهَا,[For them are] gardens of perpetual residence which they will enter.,0:12.120
,يُحَلَّوْنَ فِيهَا مِنْ أَسَاوِرَ مِن ذَهَبٍ,They will be adorned therein with bracelets of gold,0:17.760
,وَلُؤْلُؤًا ۖ,"and pearls,",0:24.066
,وَلِبَاسُهُمْ فِيهَا حَرِيرٌ,and their garments therein will be silk.,0:25.893
35:34,وَقَالُوا ٱلْحَمْدُ لِلَّهِ,"And they will say, ""Praise to Allah,",0:31.642
,وَقَالُوا ٱلْحَمْدُ لِلَّهِ,"And they will say, ""Praise to Allah,",0:37.453
,ٱلَّذِىٓ أَذْهَبَ عَنَّا ٱلْحَزَنَ ۖ,who has removed from us [all] sorrow.,0:40.360
,إِنَّ رَبَّنَا لَغَفُورٌ شَكُورٌ,"Indeed, our Lord is Forgiving and Appreciative -",0:44.506
35:35,ٱلَّذِىٓ أَحَلَّنَا دَارَ ٱلْمُقَامَةِ,"He who has settled us in the home of duration [i.e., Paradise]",0:53.297
,مِن فَضْلِهِۦ,out of His bounty.,0:57.493
,لَا يَمَسُّنَا فِيهَا نَصَبٌ,"There touches us not in it any fatigue,",0:59.786
,لَا يَمَسُّنَا فِيهَا نَصَبٌ,"There touches us not in it any fatigue,",1:03.893
,وَلَا يَمَسُّنَا فِيهَا لُغُوبٌ,"and there touches us not in it weariness [of mind].""",1:07.880
,,,1:15.254
