verse,ar,en,timestamps
40:48,إِنَّ اللَّهَ قَدْ حَكَمَ بَيْنَ الْعِبَادِ,"Indeed, Allah has judged between the servants.""",0:00.000
40:49,وَقَالَ الَّذِينَ فِى النَّارِ لِخَزَنَةِ جَهَنَّمَ,"And those in the Fire will say to the keepers of Hell,",0:06.371
,ادْعُوا رَبَّكُمْ يُخَفِّفْ عَنَّا يَوْمًا,"""Supplicate your Lord to lighten for us a day",0:12.240
,يَوْمًا مِّنَ الْعَذَابِ,"a day from the punishment.""",0:17.706
,وَقَالَ الَّذِينَ فِى النَّارِ لِخَزَنَةِ جَهَنَّمَ,"And those in the Fire will say to the keepers of Hell,",0:22.973
,ادْعُوا رَبَّكُمْ يُخَفِّفْ عَنَّا,"""Supplicate your Lord to lighten for us",0:27.773
,يَوْمًا مِّنَ الْعَذَابِ,"a day from the punishment.""",0:31.040
40:50,قَالُوا,"They will say,",0:35.607
,أَوَلَمْ تَكُ تَأْتِيكُمْ رُسُلُكُم,"""Did there not come to you your messengers",0:37.800
,بِالْبَيِّنَتِ,"with clear proofs?""",0:41.706
,قَالُوا بَلَى,"They will say, ""Yes.""",0:44.493
,قَالُوا فَادْعُوا,"They will reply, ""Then supplicate [yourselves],",0:46.560
,وَمَا دُعَؤُا الْكَفِرِينَ,but the supplication of the disbelievers is not,0:48.240
,إِلَّا فِى ضَلَلٍ,"except in error [i.e., futility].""",0:53.453
40:51,إِنَّا لَنَنصُرُ رُسُلَنَا وَالَّذِينَ ءَامَنُوا,"Indeed, We will support Our messengers and those who believe",0:57.700
,إِنَّا لَنَنصُرُ رُسُلَنَا وَالَّذِينَ ءَامَنُوا,"Indeed, We will support Our messengers and those who believe","1:06.400,1:05.156"
,فِى الْحَيَوةِ الدُّنْيَا,during the life of this world,1:12.106
,وَيَوْمَ يَقُومُ الْأَشْهَدُ,and on the Day when the witnesses will stand -,1:14.066
40:52,يَوْمَ لَا يَنفَعُ الظَّلِمِينَ مَعْذِرَتُهُمْ,"The Day their excuse will not benefit the wrongdoers,",1:19.026
,وَلَهُمُ اللَّعْنَةُ,"and they will have the curse,",1:23.960
,وَلَهُمْ سُوءُ الدَّارِ,"and they will have the worst home [i.e., Hell].",1:26.106
,,,1:34.443
