verse,ar,en,timestamps
14:42,وَلَا تَحْسَبَنَّ ٱللَّهَ غَـٰفِلًا,And never think that Allah is unaware,0:02.841
,عَمَّا يَعْمَلُ ٱلظَّـٰلِمُونَ ۚ,of what the wrongdoers do.,0:06.613
,إِنَّمَا يُؤَخِّرُهُمْ لِيَوْمٍ,"He only delays them [i.e., their account] for a Day",0:11.000
,تَشْخَصُ فِيهِ ٱلْأَبْصَـٰرُ,when eyes will stare [in horror].,0:14.986
14:43,مُهْطِعِينَ,"Racing ahead,",0:19.072
,مُقْنِعِى رُءُوسِهِمْ,"their heads raised up,",0:20.173
,لَا يَرْتَدُّ إِلَيْهِمْ طَرْفُهُمْ ۖ,"their glance does not come back to them,",0:22.600
,وَأَفْـِٔدَتُهُمْ هَوَآءٌ,and their hearts are void.,0:26.053
14:44,وَأَنذِرِ ٱلنَّاسَ يَوْمَ,"And, [O Muhammad], warn the people of a Day",0:31.282
,يَأْتِيهِمُ ٱلْعَذَابُ,when the punishment will come to them,0:34.746
,فَيَقُولُ ٱلَّذِينَ ظَلَمُوا,"and those who did wrong will say,",0:36.786
,فَيَقُولُ ٱلَّذِينَ ظَلَمُوا,"and those who did wrong will say,",0:40.066
,رَبَّنَآ أَخِّرْنَآ إِلَىٰٓ أَجَلٍ قَرِيبٍ,"""Our Lord, delay us for a short term;",0:42.506
,نُّجِبْ دَعْوَتَكَ,we will answer Your call,0:47.093
,وَنَتَّبِعِ ٱلرُّسُلَ ۗ,"and follow the messengers.""",0:48.506
,أَوَلَمْ تَكُونُوٓا أَقْسَمْتُم مِّن قَبْلُ,"[But it will be said], ""Had you not sworn, before,",0:51.026
,مَا لَكُم مِّن زَوَالٍ,that for you there would be no cessation?,0:55.213
14:45,وَسَكَنتُمْ فِى مَسَـٰكِنِ,And you lived among the dwellings,1:00.449
,ٱلَّذِينَ ظَلَمُوٓا أَنفُسَهُمْ,"of those who wronged themselves,",1:03.573
,وَتَبَيَّنَ لَكُمْ كَيْفَ فَعَلْنَا بِهِمْ,and it had become clear to you how We dealt with them.,1:06.973
,وَضَرَبْنَا لَكُمُ ٱلْأَمْثَالَ,"And We presented for you [many] examples.""",1:11.186
14:46,وَقَدْ مَكَرُوا مَكْرَهُمْ,"And they had planned their plan,",1:15.677
,وَعِندَ ٱللَّهِ مَكْرُهُمْ,"but with Allah is [recorded] their plan,",1:18.120
,وَإِن كَانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ ٱلْجِبَالُ,even if their plan had been [sufficient] to do away with the mountains.,1:21.160
14:47,فَلَا تَحْسَبَنَّ ٱللَّهَ مُخْلِفَ وَعْدِهِۦ رُسُلَهُۥٓ ۗ,So never think that Allah will fail in His promise to His messengers.,1:27.863
,إِنَّ ٱللَّهَ عَزِيزٌ ذُو ٱنتِقَامٍ,"Indeed, Allah is Exalted in Might and Owner of Retribution.",1:33.320
,,,1:39.319
