verse,ar,en,timestamps
31:14,وَوَصَّيْنَا ٱلْإِنسَـٰنَ بِوَٰلِدَيْهِ,And We have enjoined upon man [care] for his parents.,0:04.118
,وَوَصَّيْنَا ٱلْإِنسَـٰنَ بِوَٰلِدَيْهِ,And We have enjoined upon man [care] for his parents.,0:08.746
,حَمَلَتْهُ أُمُّهُۥ وَهْنًا عَلَىٰ وَهْنٍ,"His mother carried him, [increasing her] in weakness upon weakness,",0:13.973
,وَفِصَـٰلُهُۥ فِى عَامَيْنِ,and his weaning is in two years.,0:17.600
,أَنِ ٱشْكُرْ لِى وَلِوَٰلِدَيْكَ,Be grateful to Me and to your parents;,0:21.160
,إِلَىَّ ٱلْمَصِيرُ,to Me is the [final] destination.,0:23.426
31:15,وَإِن جَـٰهَدَاكَ عَلَىٰٓ أَن تُشْرِكَ بِى,But if they endeavor to make you associate with Me,0:26.083
,مَا لَيْسَ لَكَ بِهِۦ عِلْمٌ,"that of which you have no knowledge,",0:29.720
,فَلَا تُطِعْهُمَا ۖ,do not obey them,0:32.066
,وَصَاحِبْهُمَا فِى ٱلدُّنْيَا مَعْرُوفًا ۖ,but accompany them in [this] world with appropriate kindness,0:33.880
,وَٱتَّبِعْ سَبِيلَ مَنْ أَنَابَ إِلَىَّ ۚ,and follow the way of those who turn back to Me [in repentance].,0:37.613
,ثُمَّ إِلَىَّ مَرْجِعُكُمْ,"Then to Me will be your return,",0:40.760
,فَأُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ,and I will inform you about what you used to do.,0:43.453
,,,0:48.176
