verse,ar,en,timestamps
19:59,فَخَلَفَ مِن بَعْدِهِمْ,But there came after them,0:02.129
,خَلْفٌ أَضَاعُوا الصَّلَوةَ,"successors [i.e., later generations] who neglected prayer",0:04.506
,فَخَلَفَ مِن بَعْدِهِمْ,But there came after them,0:09.026
,خَلْفٌ أَضَاعُوا الصَّلَوةَ,"successors [i.e., later generations] who neglected prayer",0:11.240
,وَاتَّبَعُوا الشَّهَوَتِ,and pursued desires;,0:13.640
,فَسَوْفَ يَلْقَوْنَ غَيًّا,so they are going to meet evil -,0:15.866
19:60,إِلَّا مَن تَابَ وَءَامَنَ وَعَمِلَ صَلِحًا,"Except those who repent, believe and do righteousness;",0:18.850
,فَأُولَئِكَ يَدْخُلُونَ الْجَنَّةَ,for those will enter Paradise,0:24.533
,فَأُولَئِكَ يَدْخُلُونَ الْجَنَّةَ,for those will enter Paradise,0:29.600
,وَلَا يُظْلَمُونَ شَئًْا,and will not be wronged at all.,0:34.693
19:61,جَنَّتِ عَدْنٍ,[Therein are] gardens of perpetual residence,0:37.648
,الَّتِى وَعَدَ الرَّحْمَنُ عِبَادَهُ بِالْغَيْبِ,which the Most Merciful has promised His servants in the unseen.,0:39.613
,إِنَّهُ كَانَ وَعْدُهُ مَأْتِيًّا,"Indeed, His promise has ever been eminent.",0:45.266
19:62,لَّا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein any ill speech -,0:49.551
,لَّا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein any ill speech -,0:53.506
,إِلَّا سَلَمًا,only [greetings of] peace -,0:56.400
,وَلَهُمْ رِزْقُهُمْ فِيهَا,"and they will have their provision therein,",0:58.693
,بُكْرَةً وَعَشِيًّا,morning and afternoon.,1:01.226
19:63,تِلْكَ الْجَنَّةُ,"That is Paradise,",1:04.054
,الَّتِى نُورِثُ مِنْ عِبَادِنَا مَن كَانَ تَقِيًّا,which We give as inheritance to those of Our servants who were fearing of Allah.,1:06.093
,,,1:12.344
