verse,ar,en,timestamps
20:105,وَيَسَْٔلُونَكَ عَنِ الْجِبَالِ,"And they ask you about the mountains,",19:50.847
,فَقُلْ يَنسِفُهَا رَبِّى نَسْفًا,"so say, ""My Lord will blow them away with a blast.",19:55.266
,فَقُلْ يَنسِفُهَا رَبِّى نَسْفًا,"so say, ""My Lord will blow them away with a blast.",19:59.986
20:106,فَيَذَرُهَا قَاعًا صَفْصَفًا,"And He will leave it [i.e., the earth] a level plain;",20:04.888
20:107,لَّا تَرَى فِيهَا عِوَجًا وَلَا أَمْتًا,"You will not see therein a depression or an elevation.""",20:09.417
20:108,يَوْمَئِذٍ يَتَّبِعُونَ الدَّاعِىَ,"That Day, they [i.e., everyone] will follow [the call of] the Caller",20:14.490
,لَا عِوَجَ لَهُ,"[with] no deviation therefrom,",20:18.466
,يَوْمَئِذٍ يَتَّبِعُونَ الدَّاعِىَ,"That Day, they [i.e., everyone] will follow [the call of] the Caller",20:20.293
,لَا عِوَجَ لَهُ,"[with] no deviation therefrom,",20:24.093
,وَخَشَعَتِ الْأَصْوَاتُ لِلرَّحْمَنِ,"and [all] voices will be stilled before the Most Merciful,",20:26.013
,وَخَشَعَتِ الْأَصْوَاتُ لِلرَّحْمَنِ,"and [all] voices will be stilled before the Most Merciful,",20:32.426
,فَلَا تَسْمَعُ إِلَّا هَمْسًا,so you will not hear except a whisper [of footsteps].,20:38.133
,,,20:42.007
