Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:01.440	0:00.000	decimal	Track	
CD Track 19	0:04.213	0:00.000	decimal	Track	
CD Track 02	0:10.413	0:00.000	decimal	Track	
CD Track 20	0:13.026	0:00.000	decimal	Track	
Marker 02	0:17.457	0:00.000	decimal	Cue	
CD Track 03	0:19.826	0:00.000	decimal	Track	
CD Track 04	0:23.466	0:00.000	decimal	Track	
CD Track 05	0:25.213	0:00.000	decimal	Track	
CD Track 06	0:28.933	0:00.000	decimal	Track	
CD Track 07	0:33.600	0:00.000	decimal	Track	
CD Track 08	0:36.506	0:00.000	decimal	Track	
Marker 03	0:39.485	0:00.000	decimal	Cue	
CD Track 09	0:44.200	0:00.000	decimal	Track	
CD Track 10	0:49.213	0:00.000	decimal	Track	
Marker 04	0:53.876	0:00.000	decimal	Cue	
CD Track 11	0:58.386	0:00.000	decimal	Track	
CD Track 12	1:02.800	0:00.000	decimal	Track	
Marker 05	1:08.941	0:00.000	decimal	Cue	
CD Track 21	1:12.240	0:00.000	decimal	Track	
CD Track 13	1:17.106	0:00.000	decimal	Track	
CD Track 22	1:20.453	0:00.000	decimal	Track	
CD Track 14	1:21.760	0:00.000	decimal	Track	
Marker 06	1:24.900	0:00.000	decimal	Cue	
CD Track 15	1:26.706	0:00.000	decimal	Track	
Marker 07	1:33.186	0:00.000	decimal	Cue	
CD Track 17	1:35.866	0:00.000	decimal	Track	
CD Track 18	1:38.613	0:00.000	decimal	Track	
Marker 08	1:42.285	0:00.000	decimal	Cue	
Marker 09	1:47.828	0:00.000	decimal	Cue	
