verse,ar,en,timestamps
36:51,وَنُفِخَ فِى الصُّورِ,And the Horn will be blown;,0:00.000
,فَإِذَا هُم مِّنَ الْأَجْدَاثِ,and at once from the graves,0:01.440
,إِلَى رَبِّهِمْ يَنسِلُونَ,to their Lord they will hasten.,0:04.213
,فَإِذَا هُم مِّنَ الْأَجْدَاثِ,and at once from the graves,0:10.413
,إِلَى رَبِّهِمْ يَنسِلُونَ,to their Lord they will hasten.,0:13.026
36:52,قَالُوا يَوَيْلَنَا,"They will say, ""O woe to us!",0:17.457
,مَن بَعَثَنَا مِن مَّرْقَدِنَا,"Who has raised us up from our sleeping place?""",0:19.826
,قَالُوا يَوَيْلَنَا,"They will say, ""O woe to us!",0:23.466
,مَن بَعَثَنَا مِن مَّرْقَدِنَا,"Who has raised us up from our sleeping place?""",0:25.213
,هَذَا مَا وَعَدَ الرَّحْمَنُ,"[The reply will be], ""This is what the Most Merciful had promised,",0:28.933
,هَذَا مَا وَعَدَ الرَّحْمَنُ,"[The reply will be], ""This is what the Most Merciful had promised,",0:33.600
,وَصَدَقَ الْمُرْسَلُونَ,"and the messengers told the truth.""",0:36.506
36:53,إِن كَانَتْ إِلَّا صَيْحَةً وَحِدَةً,"It will not be but one blast,",0:39.485
,إِن كَانَتْ إِلَّا صَيْحَةً وَحِدَةً,"It will not be but one blast,",0:44.200
,فَإِذَا هُمْ جَمِيعٌ لَّدَيْنَا مُحْضَرُونَ,and at once they are all brought present before Us.,0:49.213
36:54,فَالْيَوْمَ لَا تُظْلَمُ نَفْسٌ شَئًْا,"So today [i.e., the Day of Judgement] no soul will be wronged at all,",0:53.876
,فَالْيَوْمَ لَا تُظْلَمُ نَفْسٌ شَئًْا,"So today [i.e., the Day of Judgement] no soul will be wronged at all,",0:58.386
,وَلَا تُجْزَوْنَ إِلَّا مَا كُنتُمْ تَعْمَلُونَ,and you will not be recompensed except for what you used to do.,1:02.800
36:55,إِنَّ أَصْحَبَ الْجَنَّةِ الْيَوْمَ,"Indeed the companions of Paradise, that Day,",1:08.941
,فِى شُغُلٍ فَكِهُونَ,will be amused in [joyful] occupation -,1:12.240
,إِنَّ أَصْحَبَ الْجَنَّةِ الْيَوْمَ,"Indeed the companions of Paradise, that Day,",1:17.106
,فِى شُغُلٍ,will be in [joyful] occupation -,1:20.453
,فِى شُغُلٍ فَكِهُونَ,will be amused in [joyful] occupation -,1:21.760
36:56,هُمْ وَأَزْوَجُهُمْ,They and their spouses -,1:24.900
,فِى ظِلَلٍ عَلَى الْأَرَائِكِ مُتَّكُِٔونَ,"in shade, reclining on adorned couches.",1:26.706
36:57,لَهُمْ فِيهَا فَكِهَةٌ,"For them therein is fruit,",1:33.186
,لَهُمْ فِيهَا فَكِهَةٌ,"For them therein is fruit,",1:35.866
,وَلَهُم مَّا يَدَّعُونَ,and for them is whatever they request [or wish],1:38.613
36:58,سَلَمٌ قَوْلًا مِّن رَّبٍّ رَّحِيمٍ,"[And] ""Peace,"" a word from a Merciful Lord.",1:42.285
,,,1:47.828
