Name	Start	Duration	Time Format	Type	Description
Marker 01	1:13.447	0:00.000	decimal	Cue	
CD Track 03	1:17.240	0:00.000	decimal	Track	
CD Track 05	1:19.813	0:00.000	decimal	Track	
CD Track 06	1:22.533	0:00.000	decimal	Track	
CD Track 14	1:25.133	0:00.000	decimal	Track	
CD Track 15	1:27.666	0:00.000	decimal	Track	
CD Track 16	1:32.133	0:00.000	decimal	Track	
CD Track 17	1:34.653	0:00.000	decimal	Track	
CD Track 19	1:37.946	0:00.000	decimal	Track	
CD Track 20	1:44.480	0:00.000	decimal	Track	
CD Track 21	1:48.093	0:00.000	decimal	Track	
CD Track 22	1:51.826	0:00.000	decimal	Track	
CD Track 24	1:56.173	0:00.000	decimal	Track	
Marker 02	2:01.968	0:00.000	decimal	Cue	
