verse,ar,en
,إِنَّ الْمُسْلِمِينَ وَالْمُسْلِمَتِ,"Indeed, the Muslim men and Muslim women,"
,وَالْمُؤْمِنِينَ وَالْمُؤْمِنَتِ,"the believing men and believing women,"
,وَالْقَنِتِينَ وَالْقَنِتَتِ,"the obedient men and obedient women,"
,وَالصَّدِقِينَ وَالصَّدِقَتِ,"the truthful men and truthful women,"
,وَالصَّبِرِينَ وَالصَّبِرَتِ,"the patient men and patient women,"
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,"
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,"
,وَالْمُتَصَدِّقِينَ وَالْمُتَصَدِّقَتِ,"the charitable men and charitable women,"
,وَالصَّئِمِينَ وَالصَّئِمَتِ,"the fasting men and fasting women,"
,وَالْحَفِظِينَ فُرُوجَهُمْ وَالْحَفِظَتِ,"the men who guard their private parts and the women who do so,"
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا,and the men who remember Allah often
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا وَالذَّكِرَتِ,and the men who remember Allah often and the women who do so -
,أَعَدَّ اللَّهُ لَهُم مَّغْفِرَةً وَأَجْرًا عَظِيمًا,for them Allah has prepared forgiveness and a great reward.
