verse,ar,en,timestamps
,إِنَّ الْمُسْلِمِينَ وَالْمُسْلِمَتِ,"Indeed, the Muslim men and Muslim women,",1:13.447
,وَالْمُؤْمِنِينَ وَالْمُؤْمِنَتِ,"the believing men and believing women,",1:17.240
,وَالْقَنِتِينَ وَالْقَنِتَتِ,"the obedient men and obedient women,",1:19.813
,وَالصَّدِقِينَ وَالصَّدِقَتِ,"the truthful men and truthful women,",1:22.533
,وَالصَّبِرِينَ وَالصَّبِرَتِ,"the patient men and patient women,",1:25.133
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,",1:27.666
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,",1:32.133
,وَالْمُتَصَدِّقِينَ وَالْمُتَصَدِّقَتِ,"the charitable men and charitable women,",1:34.653
,وَالصَّئِمِينَ وَالصَّئِمَتِ,"the fasting men and fasting women,",1:37.946
,وَالْحَفِظِينَ فُرُوجَهُمْ وَالْحَفِظَتِ,"the men who guard their private parts and the women who do so,",1:44.480
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا,and the men who remember Allah often,1:48.093
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا وَالذَّكِرَتِ,and the men who remember Allah often and the women who do so -,1:51.826
,أَعَدَّ اللَّهُ لَهُم مَّغْفِرَةً وَأَجْرًا عَظِيمًا,for them Allah has prepared forgiveness and a great reward.,1:56.173
,,,2:01.968
