verse,ar,en,timestamps
33:35,إِنَّ الْمُسْلِمِينَ وَالْمُسْلِمَتِ,"Indeed, the Muslim men and Muslim women,",0:00.330
,وَالْمُؤْمِنِينَ وَالْمُؤْمِنَتِ,"the believing men and believing women,",0:04.120
,وَالْقَنِتِينَ وَالْقَنِتَتِ,"the obedient men and obedient women,",0:06.760
,وَالصَّدِقِينَ وَالصَّدِقَتِ,"the truthful men and truthful women,",0:09.413
,وَالصَّبِرِينَ وَالصَّبِرَتِ,"the patient men and patient women,",0:12.013
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,",0:14.546
,وَالْخَشِعِينَ وَالْخَشِعَتِ,"the humble men and humble women,",0:19.013
,وَالْمُتَصَدِّقِينَ وَالْمُتَصَدِّقَتِ,"the charitable men and charitable women,",0:21.533
,وَالصَّئِمِينَ وَالصَّئِمَتِ,"the fasting men and fasting women,",0:24.826
,وَالْحَفِظِينَ فُرُوجَهُمْ وَالْحَفِظَتِ,"the men who guard their private parts and the women who do so,",0:31.360
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا,and the men who remember Allah often,0:34.973
,وَالذَّكِرِينَ اللَّهَ كَثِيرًا وَالذَّكِرَتِ,and the men who remember Allah often and the women who do so -,0:38.706
,أَعَدَّ اللَّهُ لَهُم مَّغْفِرَةً وَأَجْرًا عَظِيمًا,for them Allah has prepared forgiveness and a great reward.,0:43.053
,,,0:48.851
