Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.260	0:00.000	decimal	Cue	
CD Track 01	0:04.000	0:00.000	decimal	Track	
CD Track 02	0:06.426	0:00.000	decimal	Track	
CD Track 03	0:07.746	0:00.000	decimal	Track	
Marker 02	0:17.500	0:00.000	decimal	Cue	
CD Track 05	0:23.426	0:00.000	decimal	Track	
CD Track 06	0:27.640	0:00.000	decimal	Track	
CD Track 07	0:35.066	0:00.000	decimal	Track	
CD Track 08	0:38.600	0:00.000	decimal	Track	
CD Track 09	0:42.120	0:00.000	decimal	Track	
CD Track 10	0:46.773	0:00.000	decimal	Track	
CD Track 11	0:52.653	0:00.000	decimal	Track	
Marker 03	0:55.584	0:00.000	decimal	Cue	
