verse,ar,en,timestamps
10:89,قَالَ قَدْ أُجِيبَت دَّعْوَتُكُمَا,"[Allah] said, ""Your supplication has been answered.""",0:00.260
,فَٱسْتَقِيمَا,So remain on a right course,0:04.000
,فَٱسْتَقِيمَا,So remain on a right course,0:06.426
,وَلَا تَتَّبِعَآنِّ سَبِيلَ ٱلَّذِينَ لَا يَعْلَمُونَ,"and follow not the way of those who do not know.""",0:07.746
10:90,وَجَـٰوَزْنَا بِبَنِىٓ إِسْرَٰٓءِيلَ ٱلْبَحْرَ,"And We took the Children of Israel across the sea,",0:17.500
,فَأَتْبَعَهُمْ فِرْعَوْنُ,and Pharaoh pursued them,0:23.426
,فَأَتْبَعَهُمْ فِرْعَوْنُ وَجُنُودُهُۥ بَغْيًا وَعَدْوًا ۖ,and Pharaoh and his soldiers pursued them in tyranny and enmity,0:27.640
,حَتَّىٰٓ إِذَآ أَدْرَكَهُ ٱلْغَرَقُ,"until, when drowning overtook him,",0:35.066
,قَالَ ءَامَنتُ,"he said, ""I believe",0:38.600
,قَالَ ءَامَنتُ أَنَّهُۥ لَآ إِلَـٰهَ,"he said, ""I believe that there is no deity",0:42.120
,إِلَّا ٱلَّذِىٓ ءَامَنَتْ بِهِۦ بَنُوٓا إِسْرَٰٓءِيلَ,"except that in whom the Children of Israel believe,",0:46.773
,وَأَنَا۠ مِنَ ٱلْمُسْلِمِينَ,"and I am of the Muslims.""",0:52.653
,,,0:55.584
