verse,ar,en,timestamps
,الْقَارِعَةُ,The Striking Calamity -,0:00.768
,مَا الْقَارِعَةُ,What is the Striking Calamity?,0:02.379
,وَمَا أَدْرَىكَ مَا الْقَارِعَةُ,And what can make you know what is the Striking Calamity?,0:04.888
,يَوْمَ يَكُونُ النَّاسُ كَالْفَرَاشِ الْمَبْثُوثِ,"It is the Day when people will be like moths, dispersed,",0:10.079
,وَتَكُونُ الْجِبَالُ كَالْعِهْنِ الْمَنفُوشِ,"And the mountains will be like wool, fluffed up.",0:19.282
,فَأَمَّا مَن ثَقُلَتْ مَوَزِينُهُ,"Then as for one whose scales are heavy [with good deeds],",0:27.327
,فَهُوَ فِى عِيشَةٍ رَّاضِيَةٍ,He will be in a pleasant life.,0:33.487
,وَأَمَّا مَنْ خَفَّتْ مَوَزِينُهُ,"But as for one whose scales are light,",0:37.589
,فَأُمُّهُ هَاوِيَةٌ,His refuge will be an abyss.,0:42.681
,وَمَا أَدْرَىكَ مَا هِيَهْ,And what can make you know what that is?,0:46.394
,نَارٌ حَامِيَةٌ,"It is a Fire, intensely hot.",0:51.218
,,,0:53.965
