Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.319	0:00.000	decimal	Cue	
Marker 02	0:02.450	0:00.000	decimal	Cue	
Marker 04	0:05.936	0:00.000	decimal	Cue	
Marker 05	0:08.440	0:00.000	decimal	Track	
Marker 07	0:10.729	0:00.000	decimal	Cue	
Marker 09	0:16.215	0:00.000	decimal	Cue	
Marker 10	0:19.400	0:00.000	decimal	Track	
Marker 12	0:21.462	0:00.000	decimal	Cue	
Marker 13	0:25.173	0:00.000	decimal	Track	
Marker 15	0:27.293	0:00.000	decimal	Cue	
Marker 16	0:32.120	0:00.000	decimal	Track	
Marker 18	0:33.970	0:00.000	decimal	Cue	
Marker 19	0:38.093	0:00.000	decimal	Track	
Marker 21	0:40.082	0:00.000	decimal	Cue	
Marker 22	0:42.760	0:00.000	decimal	Track	
Marker 24	0:45.292	0:00.000	decimal	Cue	
Marker 25	0:49.066	0:00.000	decimal	Track	
Marker 27	0:51.470	0:00.000	decimal	Cue	
Marker 28	0:55.533	0:00.000	decimal	Track	
Marker 29	0:56.744	0:00.000	decimal	Cue	
