verse,ar,en,timestamps
101:1,الْقَارِعَةُ,The Striking Calamity -,0:00.768
101:2,مَا الْقَارِعَةُ,What is the Striking Calamity?,0:02.461
101:3,وَمَا أَدْرَىكَ مَا الْقَارِعَةُ,And what can make you know what is the Striking Calamity?,0:04.888
101:4,يَوْمَ يَكُونُ النَّاسُ كَالْفَرَاشِ,"It is the Day when people will be like moths,",0:10.079
,الْمَبْثُوثِ,"dispersed,",0:15.000
101:5,وَتَكُونُ الْجِبَالُ كَالْعِهْنِ,"And the mountains will be like wool,",0:19.282
,الْمَنفُوشِ,fluffed up.,0:22.933
101:6,فَأَمَّا مَن ثَقُلَتْ مَوَزِينُهُ,"Then as for one whose scales are heavy [with good deeds],",0:27.327
101:7,فَهُوَ فِى عِيشَةٍ رَّاضِيَةٍ,He will be in a pleasant life.,0:33.453
101:8,وَأَمَّا مَنْ خَفَّتْ مَوَزِينُهُ,"But as for one whose scales are light,",0:37.589
101:9,فَأُمُّهُ هَاوِيَةٌ,His refuge will be an abyss.,0:42.656
101:10,وَمَا أَدْرَىكَ مَا هِيَهْ,And what can make you know what that is?,0:46.394
101:11,نَارٌ حَامِيَةٌ,"It is a Fire, intensely hot.",0:51.254
,,,0:53.965
