Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 13	0:03.720	0:00.000	decimal	Track	
CD Track 01	0:05.800	0:00.000	decimal	Track	
CD Track 02	0:10.973	0:00.000	decimal	Track	
Marker 02	0:13.963	0:00.000	decimal	Cue	
CD Track 03	0:19.480	0:00.000	decimal	Track	
CD Track 04	0:20.720	0:00.000	decimal	Track	
CD Track 05	0:21.573	0:00.000	decimal	Track	
CD Track 06	0:25.986	0:00.000	decimal	Track	
CD Track 07	0:29.093	0:00.000	decimal	Track	
Marker 03	0:36.129	0:00.000	decimal	Cue	
CD Track 14	0:39.760	0:00.000	decimal	Track	
CD Track 08	0:45.133	0:00.000	decimal	Track	
CD Track 09	0:49.000	0:00.000	decimal	Track	
CD Track 10	0:52.760	0:00.000	decimal	Track	
Marker 05	0:56.208	0:00.000	decimal	Cue	
CD Track 11	1:01.106	0:00.000	decimal	Track	
CD Track 15	1:08.186	0:00.000	decimal	Track	
CD Track 12	1:11.933	0:00.000	decimal	Track	
Marker 06	1:20.263	0:00.000	decimal	Cue	
