Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.373	0:00.000	decimal	Cue	
CD Track 01	0:05.786	0:00.000	decimal	Track	
CD Track 03	0:08.760	0:00.000	decimal	Track	
CD Track 04	0:12.106	0:00.000	decimal	Track	
CD Track 05	0:19.066	0:00.000	decimal	Track	
Marker 03	0:25.050	0:00.000	decimal	Cue	
CD Track 06	0:32.426	0:00.000	decimal	Track	
CD Track 07	0:39.826	0:00.000	decimal	Track	
Marker 05	0:44.786	0:00.000	decimal	Cue	
CD Track 08	0:49.240	0:00.000	decimal	Track	
Marker 06	1:01.481	0:00.000	decimal	Cue	
CD Track 09	1:09.520	0:00.000	decimal	Track	
CD Track 10	1:12.773	0:00.000	decimal	Track	
Marker 07	1:20.341	0:00.000	decimal	Cue	
