verse,ar,en,timestamps
40:43,لَا جَرَمَ أَنَّمَا تَدْعُونَنِىٓ إِلَيْهِ,"Assuredly, that to which you invite me",0:00.373
,لَيْسَ لَهُۥ دَعْوَةٌ,has no [response to a] supplication,0:05.786
,فِى ٱلدُّنْيَا وَلَا فِى ٱلْـَٔاخِرَةِ,in this world or in the Hereafter;,0:08.760
,وَأَنَّ مَرَدَّنَآ إِلَى ٱللَّهِ,"and indeed, our return is to Allah,",0:12.106
,وَأَنَّ ٱلْمُسْرِفِينَ هُمْ أَصْحَـٰبُ ٱلنَّارِ,"and indeed, the transgressors will be companions of the Fire.",0:19.066
40:44,فَسَتَذْكُرُونَ مَآ أَقُولُ لَكُمْ ۚ,"And you will remember what I [now] say to you,",0:25.050
,وَأُفَوِّضُ أَمْرِىٓ إِلَى ٱللَّهِ ۚ,and I entrust my affair to Allah.,0:32.426
,إِنَّ ٱللَّهَ بَصِيرٌۢ بِٱلْعِبَادِ,"Indeed, Allah is Seeing of [His] servants.""",0:39.826
40:45,فَوَقَىٰهُ ٱللَّهُ سَيِّـَٔاتِ مَا مَكَرُوا ۖ,"So Allah protected him from the evils they plotted,",0:44.786
,وَحَاقَ بِـَٔالِ فِرْعَوْنَ سُوٓءُ ٱلْعَذَابِ,and the people of Pharaoh were enveloped by the worst of punishment -,0:49.240
40:46,ٱلنَّارُ يُعْرَضُونَ عَلَيْهَا غُدُوًّا وَعَشِيًّا ۖ,The Fire; they are exposed to it morning and evening.,1:01.481
,وَيَوْمَ تَقُومُ ٱلسَّاعَةُ,And the Day the Hour appears,1:09.520
,أَدْخِلُوٓا ءَالَ فِرْعَوْنَ أَشَدَّ ٱلْعَذَابِ,"[it will be said], ""Make the people of Pharaoh enter the severest punishment.""",1:12.773
,,,1:20.341
