verse,ar,en,timestamps
38:30,وَوَهَبْنَا لِدَاوُۥدَ سُلَيْمَـٰنَ ۚ,And to David We gave Solomon.,0:00.055
,نِعْمَ ٱلْعَبْدُ ۖ,"An excellent servant,",0:05.946
,إِنَّهُۥٓ أَوَّابٌ,indeed he was one repeatedly turning back [to Allah].,0:07.373
38:31,إِذْ عُرِضَ عَلَيْهِ بِٱلْعَشِىِّ,[Mention] when there were exhibited before him in the afternoon,0:11.736
,ٱلصَّـٰفِنَـٰتُ ٱلْجِيَادُ,the poised [standing] racehorses.,0:15.040
38:32,فَقَالَ إِنِّىٓ أَحْبَبْتُ حُبَّ ٱلْخَيْرِ,"And he said, ""Indeed, I gave preference to the love of good [things]",0:18.893
,عَن ذِكْرِ رَبِّى,over the remembrance of my Lord,0:23.693
,حَتَّىٰ تَوَارَتْ بِٱلْحِجَابِ,"until it [i.e., the sun] disappeared into the curtain [of darkness].""",0:27.733
38:33,رُدُّوهَا عَلَىَّ ۖ,"[He said], ""Return them to me,""",0:32.033
,فَطَفِقَ مَسْحًۢا بِٱلسُّوقِ وَٱلْأَعْنَاقِ,and set about striking [their] legs and necks.,0:34.306
38:34,وَلَقَدْ فَتَنَّا سُلَيْمَـٰنَ,And We certainly tried Solomon,0:40.208
,وَأَلْقَيْنَا عَلَىٰ كُرْسِيِّهِۦ جَسَدًا,and placed on his throne a body;,0:45.320
,ثُمَّ أَنَابَ,then he returned.,0:50.800
,,,0:54.375
