verse,ar,en,timestamps
2:79,فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ ٱلْكِتَـٰبَ بِأَيْدِيهِمْ,"So woe to those who write the ""scripture"" with their own hands,",3:37.499
,ثُمَّ يَقُولُونَ هَـٰذَا مِنْ عِندِ ٱللَّهِ,"then say, ""This is from Allah,""",3:43.200
,لِيَشْتَرُوا بِهِۦ ثَمَنًا قَلِيلًا ۖ,in order to exchange it for a small price.,3:47.920
,فَوَيْلٌ لَّهُم مِّمَّا كَتَبَتْ أَيْدِيهِمْ,Woe to them for what their hands have written,3:52.000
,وَوَيْلٌ لَّهُم مِّمَّا يَكْسِبُونَ,and woe to them for what they earn.,3:56.106
2:80,وَقَالُوا لَن تَمَسَّنَا ٱلنَّارُ,"And they say, ""Never will the Fire touch us,",4:00.383
,إِلَّآ أَيَّامًا مَّعْدُودَةً ۚ,"except for [a few] numbered days.""",4:04.600
,قُلْ أَتَّخَذْتُمْ عِندَ ٱللَّهِ عَهْدًا,"Say, ""Have you taken a covenant with Allah?",4:09.706
,فَلَن يُخْلِفَ ٱللَّهُ عَهْدَهُۥٓ ۖ,For Allah will never break His covenant.,4:14.626
,أَمْ تَقُولُونَ عَلَى ٱللَّهِ مَا لَا تَعْلَمُونَ,"Or do you say about Allah that which you do not know?""",4:17.733
,,,4:24.230
